# time_delay	fit_example_1	fit_example_2	fit_example_3	fit_example_4
-2.00000000e+00 -1.35309035e-213 1.97884951e-221 8.36026814e-253 -2.11713848e-235
-1.90000000e+00 -5.48804746e-192 2.04718599e-199 3.16906924e-229 -1.12280236e-212
-1.80000000e+00 -1.52267572e-171 1.44862620e-178 8.21348502e-207 -4.07219749e-191
-1.70000000e+00 -2.89104558e-152 7.01392713e-159 1.45589157e-185 -1.01032799e-170
-1.60000000e+00 -3.75794422e-134 2.32461913e-140 1.76554601e-165 -1.71539913e-151
-1.50000000e+00 -3.34597174e-117 5.27647274e-123 1.46536659e-146 -1.99401949e-133
-1.40000000e+00 -2.04197044e-101 8.20727100e-107 8.32784264e-129 -1.58776621e-116
-1.30000000e+00 -8.54823113e-87 8.75465744e-92 3.24251173e-112 -8.66600777e-101
-1.20000000e+00 -2.45716914e-73 6.41013539e-78 8.65549499e-97 -3.24471294e-86
-1.10000000e+00 -4.85600098e-61 3.22548021e-65 1.58538327e-82 -8.34251957e-73
-1.00000000e+00 -6.60891158e-50 1.11708028e-53 1.99469621e-69 -1.47483742e-60
-9.50000000e-01 -8.94537411e-45 2.41132149e-48 2.59278962e-63 -7.18929186e-55
-9.00000000e-01 -6.20808082e-40 2.66820760e-43 1.72632319e-57 -1.79577882e-49
-8.50000000e-01 -2.20997017e-35 1.51404845e-38 5.88907186e-52 -2.29919775e-44
-8.00000000e-01 -4.03739162e-31 4.40765987e-34 1.02958990e-46 -1.50942562e-39
-7.50000000e-01 -3.78757316e-27 6.58651546e-30 9.22822358e-42 -5.08326864e-35
-7.00000000e-01 -1.82593581e-23 5.05549359e-26 4.24207294e-37 -8.78599227e-31
-6.50000000e-01 -4.52761805e-20 1.99469829e-22 1.00056834e-32 -7.79869618e-27
-6.00000000e-01 -5.78112637e-17 4.04974894e-19 1.21162392e-28 -3.55765688e-23
-5.50000000e-01 -3.80674240e-14 4.23607597e-16 7.53769665e-25 -8.34880268e-20
-5.00000000e-01 -1.29518335e-11 2.28661051e-13 2.41116205e-21 -1.00905986e-16
-4.50000000e-01 -2.28281396e-09 6.38335838e-11 3.97000900e-18 -6.29077722e-14
-4.00000000e-01 -2.09181089e-07 9.24278834e-09 3.36915652e-15 -2.02701148e-11
-3.50000000e-01 -1.00160328e-05 6.96984555e-07 1.47631602e-12 -3.38488274e-09
-3.00000000e-01 -2.52496097e-04 2.75336836e-05 3.34797484e-10 -2.94027427e-07
