# time_delay	fit_example_osc_1
-2.00000000e+00 6.95367128e-154
-1.90000000e+00 6.47475824e-139
-1.80000000e+00 1.00914825e-124
-1.70000000e+00 2.63361116e-111
-1.60000000e+00 1.15128543e-98
-1.50000000e+00 8.43434403e-87
-1.40000000e+00 1.03609779e-75
-1.30000000e+00 2.13564824e-65
-1.20000000e+00 7.39278433e-56
-1.10000000e+00 4.30230635e-47
-1.00000000e+00 4.21508976e-39
-9.50000000e-01 2.14005266e-35
-9.00000000e-01 6.96477539e-32
-8.50000000e-01 1.45343377e-28
-8.00000000e-01 1.94560160e-25
-7.50000000e-01 1.67139366e-22
-7.00000000e-01 9.21942312e-20
-6.50000000e-01 3.26747043e-17
-6.00000000e-01 7.44642886e-15
-5.50000000e-01 1.09229618e-12
-5.00000000e-01 1.03258326e-10
-4.50000000e-01 6.30064609e-09
-4.00000000e-01 2.48659524e-07
-3.50000000e-01 6.36432246e-06
-3.00000000e-01 1.06022221e-04
-2.50000000e-01 1.15530847e-03
-2.00000000e-01 8.29252555e-03
-1.50000000e-01 3.96011454e-02
-1.00000000e-01 1.27670257e-01
-5.00000000e-02 2.83882381e-01
8.88178420e-16 4.49301603e-01
5.00000000e-02 5.30163325e-01
1.00000000e-01 5.00443723e-01
1.50000000e-01 4.24389789e-01
2.00000000e-01 3.85017962e-01
2.50000000e-01 4.22537345e-01
3.00000000e-01 5.21573566e-01
3.50000000e-01 6.29621372e-01
4.00000000e-01 6.89913661e-01
4.50000000e-01 6.73431118e-01
5.00000000e-01 5.94290874e-01
5.50000000e-01 5.00843272e-01
6.00000000e-01 4.48067128e-01
6.50000000e-01 4.67006012e-01
7.00000000e-01 5.48218387e-01
7.50000000e-01 6.48032929e-01
8.00000000e-01 7.13567787e-01
8.50000000e-01 7.12202264e-01
9.00000000e-01 6.49093734e-01
9.50000000e-01 5.63361233e-01
1.00000000e+00 5.05590964e-01
2.00000000e+00 7.59249561e-01
3.00000000e+00 7.22632838e-01
4.00000000e+00 7.96471239e-01
5.00000000e+00 8.36002089e-01
6.00000000e+00 8.22850491e-01
7.00000000e+00 8.78732952e-01
8.00000000e+00 8.46191890e-01
9.00000000e+00 8.84466608e-01
1.00000000e+01 8.62002981e-01
2.00000000e+01 8.28377901e-01
3.00000000e+01 7.66670742e-01
4.00000000e+01 7.09669977e-01
5.00000000e+01 6.57815624e-01
6.00000000e+01 6.10653015e-01
7.00000000e+01 5.67729330e-01
8.00000000e+01 5.28629287e-01
9.00000000e+01 4.92979555e-01
1.00000000e+02 4.60444266e-01
2.00000000e+02 2.52743627e-01
3.00000000e+02 1.58029840e-01
4.00000000e+02 1.07864049e-01
5.00000000e+02 7.73533483e-02
6.00000000e+02 5.68806913e-02
7.00000000e+02 4.23320363e-02
8.00000000e+02 3.16816793e-02
9.00000000e+02 2.37721573e-02
1.00000000e+03 1.78583936e-02
1.10000000e+03 1.34230307e-02
1.20000000e+03 1.00917310e-02
1.30000000e+03 7.58803735e-03
1.40000000e+03 5.70578559e-03
