# time_delay	fit_osc_1
-2.00000000e+00 0.00000000e+00
-1.90000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00
-1.70000000e+00 0.00000000e+00
-1.60000000e+00 0.00000000e+00
-1.50000000e+00 0.00000000e+00
-1.40000000e+00 0.00000000e+00
-1.30000000e+00 0.00000000e+00
-1.20000000e+00 0.00000000e+00
-1.10000000e+00 -3.24140096e-315
-1.00000000e+00 -9.42850967e-266
-9.50000000e-01 -1.26866489e-242
-9.00000000e-01 -1.45826261e-220
-8.50000000e-01 -1.43253346e-199
-8.00000000e-01 -1.20331770e-179
-7.50000000e-01 -8.64821587e-161
-7.00000000e-01 -5.32175025e-143
-6.50000000e-01 -2.80629852e-126
-6.00000000e-01 -1.26942939e-110
-5.50000000e-01 -4.93194058e-96
-5.00000000e-01 -1.64825987e-82
-4.50000000e-01 -4.74746742e-70
-4.00000000e-01 -1.18136010e-58
-3.50000000e-01 -2.54774893e-48
-3.00000000e-01 -4.78196134e-39
-2.50000000e-01 -7.85635003e-31
-2.00000000e-01 -1.13900184e-23
-1.50000000e-01 -1.47473682e-17
-1.00000000e-01 -1.73725361e-12
-5.00000000e-02 -1.92014007e-08
8.88178420e-16 -2.10394083e-05
5.00000000e-02 -2.54460789e-03
1.00000000e-01 -4.24674832e-02
1.50000000e-01 -1.50957214e-01
2.00000000e-01 -2.04197570e-01
2.50000000e-01 -1.45733630e-01
3.00000000e-01 -2.75567873e-02
3.50000000e-01 7.68444435e-02
4.00000000e-01 1.18085213e-01
4.50000000e-01 9.01677389e-02
5.00000000e-01 2.33480499e-02
5.50000000e-01 -3.95964834e-02
6.00000000e-01 -6.78542107e-02
6.50000000e-01 -5.53048287e-02
7.00000000e-01 -1.78239511e-02
7.50000000e-01 1.98654772e-02
8.00000000e-01 3.87223602e-02
8.50000000e-01 3.36525907e-02
9.00000000e-01 1.28114547e-02
9.50000000e-01 -9.60725024e-03
1.00000000e+00 -2.19371311e-02
2.00000000e+00 1.11828592e-03
3.00000000e+00 -3.73983484e-05
4.00000000e+00 -6.06383980e-07
5.00000000e+00 2.58266212e-07
6.00000000e+00 -3.01695423e-08
7.00000000e+00 2.61936773e-09
8.00000000e+00 -1.90018166e-10
9.00000000e+00 1.17048861e-11
1.00000000e+01 -5.82597395e-13
2.00000000e+01 -3.49649025e-25
3.00000000e+01 5.24683172e-36
4.00000000e+01 -1.61746188e-47
5.00000000e+01 2.11771497e-59
6.00000000e+01 3.62975242e-71
7.00000000e+01 -2.74251091e-82
8.00000000e+01 7.21446265e-94
9.00000000e+01 -6.67814541e-106
1.00000000e+02 -2.59909012e-117
2.00000000e+02 -4.89567458e-233
3.00000000e+02 0.00000000e+00
4.00000000e+02 0.00000000e+00
5.00000000e+02 0.00000000e+00
6.00000000e+02 0.00000000e+00
7.00000000e+02 0.00000000e+00
8.00000000e+02 0.00000000e+00
9.00000000e+02 0.00000000e+00
1.00000000e+03 0.00000000e+00
1.10000000e+03 0.00000000e+00
1.20000000e+03 0.00000000e+00
1.30000000e+03 0.00000000e+00
1.40000000e+03 0.00000000e+00
