# time_delay 	 res_example_1 	 eps
-2.00000000e+00 -7.73015297e-03 2.18015259e-02
-1.90000000e+00 2.97789828e-02 2.18015259e-02
-1.80000000e+00 2.43292708e-02 2.18015259e-02
-1.70000000e+00 3.32521731e-02 2.18015259e-02
-1.60000000e+00 1.46082798e-02 2.18015259e-02
-1.50000000e+00 -7.53588140e-03 2.18015259e-02
-1.40000000e+00 1.42067909e-02 2.18015259e-02
-1.30000000e+00 -1.55740798e-02 2.18015259e-02
-1.20000000e+00 -3.26419781e-02 2.18015259e-02
-1.10000000e+00 -2.98972927e-03 2.18015259e-02
-1.00000000e+00 -3.27044822e-02 2.18015259e-02
-9.50000000e-01 8.90699392e-03 2.18015259e-02
-9.00000000e-01 1.11141562e-02 2.18015259e-02
-8.50000000e-01 4.73290151e-03 2.18015259e-02
-8.00000000e-01 1.22061062e-02 2.18015259e-02
-7.50000000e-01 4.55150404e-02 2.18015259e-02
-7.00000000e-01 3.27661544e-02 2.18015259e-02
-6.50000000e-01 1.62564524e-02 2.18015259e-02
-6.00000000e-01 5.79689126e-05 2.18015259e-02
-5.50000000e-01 -5.78151763e-02 2.18015259e-02
-5.00000000e-01 -2.63998454e-02 2.18015259e-02
-4.50000000e-01 -3.96922536e-02 2.18015259e-02
-4.00000000e-01 3.25003611e-04 2.18015259e-02
-3.50000000e-01 -2.76563907e-04 2.18015259e-02
-3.00000000e-01 6.19037826e-03 2.18015259e-02
-2.50000000e-01 -9.15620507e-03 2.18015259e-02
-2.00000000e-01 -3.58803107e-02 2.18015259e-02
-1.50000000e-01 6.17077326e-03 2.18015259e-02
-1.00000000e-01 1.75874501e-02 2.18015259e-02
-5.00000000e-02 -8.11918958e-03 2.18015259e-02
8.88178420e-16 -2.44947224e-02 2.18015259e-02
5.00000000e-02 -3.42382656e-03 2.18015259e-02
1.00000000e-01 4.17976289e-02 2.18015259e-02
1.50000000e-01 -1.59125497e-02 2.18015259e-02
2.00000000e-01 4.06083245e-03 2.18015259e-02
2.50000000e-01 3.14309333e-02 2.18015259e-02
3.00000000e-01 -2.04624024e-02 2.18015259e-02
3.50000000e-01 1.33830465e-02 2.18015259e-02
4.00000000e-01 -1.40638716e-02 2.18015259e-02
4.50000000e-01 2.89271356e-02 2.18015259e-02
5.00000000e-01 -1.58728751e-02 2.18015259e-02
5.50000000e-01 2.88947498e-02 2.18015259e-02
6.00000000e-01 -8.07120273e-03 2.18015259e-02
6.50000000e-01 -2.62635228e-02 2.18015259e-02
7.00000000e-01 -3.47071310e-03 2.18015259e-02
7.50000000e-01 -2.33668301e-02 2.18015259e-02
8.00000000e-01 -3.03036553e-03 2.18015259e-02
8.50000000e-01 9.54438130e-03 2.18015259e-02
9.00000000e-01 -9.89091913e-03 2.18015259e-02
9.50000000e-01 2.28953883e-02 2.18015259e-02
1.00000000e+00 -1.13961292e-02 2.18015259e-02
2.00000000e+00 -7.00640425e-03 2.18015259e-02
3.00000000e+00 -1.71429902e-03 2.18015259e-02
4.00000000e+00 -2.90964696e-02 2.18015259e-02
5.00000000e+00 3.29450706e-02 2.18015259e-02
6.00000000e+00 -1.69989857e-02 2.18015259e-02
7.00000000e+00 1.31522016e-02 2.18015259e-02
8.00000000e+00 8.68187850e-03 2.18015259e-02
9.00000000e+00 -1.06517888e-03 2.18015259e-02
1.00000000e+01 -4.86464400e-03 2.18015259e-02
2.00000000e+01 1.17831210e-02 2.18015259e-02
3.00000000e+01 1.38144793e-02 2.18015259e-02
4.00000000e+01 -1.24727459e-02 2.18015259e-02
5.00000000e+01 3.05291089e-03 2.18015259e-02
6.00000000e+01 -4.19251447e-02 2.18015259e-02
7.00000000e+01 6.57665968e-03 2.18015259e-02
8.00000000e+01 -3.56595265e-03 2.18015259e-02
9.00000000e+01 5.05280866e-02 2.18015259e-02
1.00000000e+02 -2.92381863e-02 2.18015259e-02
2.00000000e+02 4.95906862e-03 2.18015259e-02
3.00000000e+02 -7.83770593e-03 2.18015259e-02
4.00000000e+02 4.29204729e-03 2.18015259e-02
5.00000000e+02 -1.80381856e-02 2.18015259e-02
6.00000000e+02 -2.24388229e-02 2.18015259e-02
7.00000000e+02 1.24418576e-02 2.18015259e-02
8.00000000e+02 -7.19672566e-03 2.18015259e-02
9.00000000e+02 4.15172101e-02 2.18015259e-02
1.00000000e+03 2.99780959e-02 2.18015259e-02
1.10000000e+03 1.33413019e-02 2.18015259e-02
1.20000000e+03 5.14673178e-03 2.18015259e-02
1.30000000e+03 -6.12455861e-04 2.18015259e-02
1.40000000e+03 1.82777816e-02 2.18015259e-02
