# time_delay 	 res_example_osc_1 	 eps
-2.00000000e+00 -3.42775885e-02 2.17315026e-02
-1.90000000e+00 8.93166165e-03 2.17315026e-02
-1.80000000e+00 1.27495171e-02 2.17315026e-02
-1.70000000e+00 -2.01419023e-02 2.17315026e-02
-1.60000000e+00 3.28024037e-02 2.17315026e-02
-1.50000000e+00 -6.36351107e-03 2.17315026e-02
-1.40000000e+00 1.50211007e-02 2.17315026e-02
-1.30000000e+00 4.40652300e-02 2.17315026e-02
-1.20000000e+00 2.22133931e-02 2.17315026e-02
-1.10000000e+00 5.21637687e-03 2.17315026e-02
-1.00000000e+00 -2.84912115e-03 2.17315026e-02
-9.50000000e-01 -2.83602920e-02 2.17315026e-02
-9.00000000e-01 1.77006581e-02 2.17315026e-02
-8.50000000e-01 1.71781517e-02 2.17315026e-02
-8.00000000e-01 -1.40719860e-02 2.17315026e-02
-7.50000000e-01 -2.10859134e-04 2.17315026e-02
-7.00000000e-01 -2.29315357e-02 2.17315026e-02
-6.50000000e-01 -3.39380051e-02 2.17315026e-02
-6.00000000e-01 -4.61409186e-03 2.17315026e-02
-5.50000000e-01 1.38282257e-02 2.17315026e-02
-5.00000000e-01 5.19134652e-03 2.17315026e-02
-4.50000000e-01 1.79519000e-02 2.17315026e-02
-4.00000000e-01 -1.64231518e-02 2.17315026e-02
-3.50000000e-01 3.95153159e-02 2.17315026e-02
-3.00000000e-01 -2.89223288e-02 2.17315026e-02
-2.50000000e-01 2.09751214e-02 2.17315026e-02
-2.00000000e-01 1.61690110e-02 2.17315026e-02
-1.50000000e-01 7.20726803e-03 2.17315026e-02
-1.00000000e-01 -2.19894312e-02 2.17315026e-02
-5.00000000e-02 2.48962555e-02 2.17315026e-02
8.88178420e-16 -2.81417943e-02 2.17315026e-02
5.00000000e-02 2.84846165e-02 2.17315026e-02
1.00000000e-01 -8.11074847e-03 2.17315026e-02
1.50000000e-01 -2.63420266e-02 2.17315026e-02
2.00000000e-01 -1.67209403e-02 2.17315026e-02
2.50000000e-01 6.43494959e-03 2.17315026e-02
3.00000000e-01 -1.64425252e-02 2.17315026e-02
3.50000000e-01 -1.74906762e-03 2.17315026e-02
4.00000000e-01 2.81332113e-03 2.17315026e-02
4.50000000e-01 4.20609649e-03 2.17315026e-02
5.00000000e-01 3.73265845e-02 2.17315026e-02
5.50000000e-01 -2.50020994e-02 2.17315026e-02
6.00000000e-01 1.51225369e-02 2.17315026e-02
6.50000000e-01 2.20946762e-02 2.17315026e-02
7.00000000e-01 1.00906426e-02 2.17315026e-02
7.50000000e-01 5.38257741e-04 2.17315026e-02
8.00000000e-01 1.36755032e-02 2.17315026e-02
8.50000000e-01 -4.62442820e-02 2.17315026e-02
9.00000000e-01 1.03609619e-02 2.17315026e-02
9.50000000e-01 1.31708034e-02 2.17315026e-02
1.00000000e+00 6.08820447e-03 2.17315026e-02
2.00000000e+00 -6.18125415e-03 2.17315026e-02
3.00000000e+00 -1.15819885e-02 2.17315026e-02
4.00000000e+00 -4.74124231e-03 2.17315026e-02
5.00000000e+00 2.40655360e-02 2.17315026e-02
6.00000000e+00 3.75710744e-03 2.17315026e-02
7.00000000e+00 -2.74712423e-02 2.17315026e-02
8.00000000e+00 -1.66995507e-02 2.17315026e-02
9.00000000e+00 2.66576982e-02 2.17315026e-02
1.00000000e+01 -1.11060995e-02 2.17315026e-02
2.00000000e+01 1.35266159e-02 2.17315026e-02
3.00000000e+01 9.27683408e-04 2.17315026e-02
4.00000000e+01 1.82791315e-02 2.17315026e-02
5.00000000e+01 -2.22668763e-02 2.17315026e-02
6.00000000e+01 -1.31267635e-02 2.17315026e-02
7.00000000e+01 -2.61481893e-02 2.17315026e-02
8.00000000e+01 3.21543417e-02 2.17315026e-02
9.00000000e+01 -1.27282987e-04 2.17315026e-02
1.00000000e+02 1.42739293e-02 2.17315026e-02
2.00000000e+02 -2.35375628e-02 2.17315026e-02
3.00000000e+02 2.77199527e-02 2.17315026e-02
4.00000000e+02 -7.74726983e-03 2.17315026e-02
5.00000000e+02 -2.60093292e-04 2.17315026e-02
6.00000000e+02 -2.06688733e-02 2.17315026e-02
7.00000000e+02 9.49036434e-03 2.17315026e-02
8.00000000e+02 -9.90135971e-03 2.17315026e-02
9.00000000e+02 3.81091947e-02 2.17315026e-02
1.00000000e+03 -4.00202380e-03 2.17315026e-02
1.10000000e+03 -4.18933488e-02 2.17315026e-02
1.20000000e+03 2.34996988e-02 2.17315026e-02
1.30000000e+03 -1.55171070e-03 2.17315026e-02
1.40000000e+03 7.41723684e-03 2.17315026e-02
