# energy	fit	voigt_0	voigt_1	g_type_edge
8.96000000e+03 7.03134831e-04 6.16762819e-05 6.41458549e-04 0.00000000e+00
8.96037736e+03 7.17032486e-04 6.34394951e-05 6.53592991e-04 0.00000000e+00
8.96075472e+03 7.31352778e-04 6.52793227e-05 6.66073456e-04 0.00000000e+00
8.96113208e+03 7.46113426e-04 6.72002629e-05 6.78913163e-04 0.00000000e+00
8.96150943e+03 7.61333116e-04 6.92071488e-05 6.92125967e-04 0.00000000e+00
8.96188679e+03 7.77031571e-04 7.13051782e-05 7.05726393e-04 0.00000000e+00
8.96226415e+03 7.93229623e-04 7.34999473e-05 7.19729676e-04 0.00000000e+00
8.96264151e+03 8.09949291e-04 7.57974879e-05 7.34151804e-04 0.00000000e+00
8.96301887e+03 8.27213868e-04 7.82043089e-05 7.49009559e-04 0.00000000e+00
8.96339623e+03 8.45048013e-04 8.07274416e-05 7.64320572e-04 0.00000000e+00
8.96377358e+03 8.63477857e-04 8.33744915e-05 7.80103366e-04 0.00000000e+00
8.96415094e+03 8.82531111e-04 8.61536948e-05 7.96377416e-04 0.00000000e+00
8.96452830e+03 9.02237191e-04 8.90739826e-05 8.13163208e-04 0.00000000e+00
8.96490566e+03 9.22627350e-04 9.21450519e-05 8.30482299e-04 0.00000000e+00
8.96528302e+03 9.43734831e-04 9.53774459e-05 8.48357385e-04 0.00000000e+00
8.96566038e+03 9.65595022e-04 9.87826442e-05 8.66812378e-04 0.00000000e+00
8.96603774e+03 9.88245642e-04 1.02373164e-04 8.85872478e-04 0.00000000e+00
8.96641509e+03 1.01172694e-03 1.06162673e-04 9.05564264e-04 0.00000000e+00
8.96679245e+03 1.03608190e-03 1.10166123e-04 9.25915775e-04 1.10981645e-17
8.96716981e+03 1.06135651e-03 1.14399892e-04 9.46956618e-04 3.32944934e-17
8.96754717e+03 1.08760001e-03 1.18881951e-04 9.68718064e-04 8.87853158e-17
8.96792453e+03 1.11486522e-03 1.23632056e-04 9.91233167e-04 2.44159618e-16
8.96830189e+03 1.14320885e-03 1.28671963e-04 1.01453688e-03 6.43693540e-16
8.96867925e+03 1.17269188e-03 1.34025676e-04 1.03866621e-03 1.72021549e-15
8.96905660e+03 1.20338003e-03 1.39719728e-04 1.06366030e-03 4.48365845e-15
8.96943396e+03 1.23534418e-03 1.45783510e-04 1.08956067e-03 1.15420911e-14
8.96981132e+03 1.26866097e-03 1.52249648e-04 1.11641132e-03 2.92547616e-14
8.97018868e+03 1.30341336e-03 1.59154433e-04 1.14425892e-03 7.30481186e-14
8.97056604e+03 1.33969138e-03 1.66538331e-04 1.17315304e-03 1.79623792e-13
8.97094340e+03 1.37759290e-03 1.74446570e-04 1.20314633e-03 4.35059146e-13
8.97132075e+03 1.41722458e-03 1.82929821e-04 1.23429475e-03 1.03793364e-12
8.97169811e+03 1.45870287e-03 1.92045008e-04 1.26665786e-03 2.43909910e-12
8.97207547e+03 1.50215530e-03 2.01856248e-04 1.30029905e-03 5.64581384e-12
8.97245283e+03 1.54772184e-03 2.12435967e-04 1.33528586e-03 1.28725834e-11
8.97283019e+03 1.59555657e-03 2.23866222e-04 1.37169032e-03 2.89102967e-11
8.97320755e+03 1.64582962e-03 2.36240269e-04 1.40958928e-03 6.39575677e-11
8.97358491e+03 1.69872941e-03 2.49664445e-04 1.44906483e-03 1.39376354e-10
8.97396226e+03 1.75446539e-03 2.64260415e-04 1.49020467e-03 2.99191698e-10
8.97433962e+03 1.81327120e-03 2.80167891e-04 1.53310267e-03 6.32672641e-10
8.97471698e+03 1.87540853e-03 2.97547924e-04 1.57785929e-03 1.31790390e-09
8.97509434e+03 1.94117181e-03 3.16586906e-04 1.62458220e-03 2.70439455e-09
8.97547170e+03 2.01089381e-03 3.37501484e-04 1.67338686e-03 5.46694587e-09
8.97584906e+03 2.08495274e-03 3.60544602e-04 1.72439725e-03 1.08871720e-08
8.97622642e+03 2.16378091e-03 3.86012991e-04 1.77774656e-03 2.13593763e-08
8.97660377e+03 2.24787588e-03 4.14256516e-04 1.83357808e-03 4.12831897e-08
8.97698113e+03 2.33781455e-03 4.45689899e-04 1.89204604e-03 7.86099668e-08
8.97735849e+03 2.43427171e-03 4.80807560e-04 1.95331668e-03 1.47472373e-07
8.97773585e+03 2.53804442e-03 5.20202509e-04 2.01756934e-03 2.72572452e-07
