# energy	fit	voigt_0
8.52500000e+02 2.59955968e-02 2.59955968e-02
8.52750000e+02 2.83714239e-02 2.83714239e-02
8.53000000e+02 3.10975862e-02 3.10975862e-02
8.53250000e+02 3.42475705e-02 3.42475705e-02
8.53500000e+02 3.79154109e-02 3.79154109e-02
8.53750000e+02 4.22230540e-02 4.22230540e-02
8.54000000e+02 4.73310253e-02 4.73310253e-02
8.54250000e+02 5.34542155e-02 5.34542155e-02
8.54500000e+02 6.08858232e-02 6.08858232e-02
8.54750000e+02 7.00346972e-02 7.00346972e-02
8.55000000e+02 8.14854741e-02 8.14854741e-02
8.55250000e+02 9.60991000e-02 9.60991000e-02
8.55500000e+02 1.15188389e-01 1.15188389e-01
8.55750000e+02 1.40841155e-01 1.40841155e-01
8.56000000e+02 1.76554365e-01 1.76554365e-01
8.56250000e+02 2.28582706e-01 2.28582706e-01
8.56500000e+02 3.09118864e-01 3.09118864e-01
8.56750000e+02 4.44870280e-01 4.44870280e-01
8.57000000e+02 7.03709737e-01 7.03709737e-01
8.57250000e+02 1.27387214e+00 1.27387214e+00
8.57500000e+02 2.54787222e+00 2.54787222e+00
8.57750000e+02 4.60626344e+00 4.60626344e+00
8.58000000e+02 6.07650834e+00 6.07650834e+00
8.58250000e+02 5.48492383e+00 5.48492383e+00
8.58500000e+02 3.69592160e+00 3.69592160e+00
8.58750000e+02 2.30411691e+00 2.30411691e+00
8.59000000e+02 1.59116908e+00 1.59116908e+00
8.59250000e+02 1.23357778e+00 1.23357778e+00
8.59500000e+02 1.14684864e+00 1.14684864e+00
8.59750000e+02 1.26344295e+00 1.26344295e+00
8.60000000e+02 1.43986347e+00 1.43986347e+00
8.60250000e+02 1.42723242e+00 1.42723242e+00
8.60500000e+02 1.13348106e+00 1.13348106e+00
8.60750000e+02 8.08412816e-01 8.08412816e-01
8.61000000e+02 5.82223961e-01 5.82223961e-01
8.61250000e+02 3.89813257e-01 3.89813257e-01
8.61500000e+02 2.44550869e-01 2.44550869e-01
8.61750000e+02 1.62317910e-01 1.62317910e-01
8.62000000e+02 1.19032788e-01 1.19032788e-01
8.62250000e+02 9.37452147e-02 9.37452147e-02
8.62500000e+02 7.70866286e-02 7.70866286e-02
8.62750000e+02 6.51940134e-02 6.51940134e-02
8.63000000e+02 5.62538836e-02 5.62538836e-02
8.63250000e+02 4.92899327e-02 4.92899327e-02
8.63500000e+02 4.37222696e-02 4.37222696e-02
8.63750000e+02 3.91815418e-02 3.91815418e-02
8.64000000e+02 3.54199626e-02 3.54199626e-02
8.64250000e+02 3.22645035e-02 3.22645035e-02
8.64500000e+02 2.95904318e-02 2.95904318e-02
8.64750000e+02 2.73054807e-02 2.73054807e-02
8.65000000e+02 2.53399359e-02 2.53399359e-02
