# energy 	 res 	 eps
8.52500000e+02 4.40930257e-04 1.00000000e-02
8.52750000e+02 -4.11648650e-03 1.00000000e-02
8.53000000e+02 -1.20614328e-02 1.00000000e-02
8.53250000e+02 -1.20095662e-02 1.00000000e-02
8.53500000e+02 -5.96531675e-03 1.00000000e-02
8.53750000e+02 -1.81593518e-02 1.00000000e-02
8.54000000e+02 -5.14252555e-03 1.00000000e-02
8.54250000e+02 7.89942780e-03 1.00000000e-02
8.54500000e+02 1.15326427e-03 1.00000000e-02
8.54750000e+02 -1.07860596e-02 1.00000000e-02
8.55000000e+02 -3.40733004e-03 1.00000000e-02
8.55250000e+02 7.47003105e-03 1.00000000e-02
8.55500000e+02 -2.93970555e-03 1.00000000e-02
8.55750000e+02 -2.62418450e-03 1.00000000e-02
8.56000000e+02 -2.15174956e-02 1.00000000e-02
8.56250000e+02 -2.78182417e-02 1.00000000e-02
8.56500000e+02 -4.38169775e-02 1.00000000e-02
8.56750000e+02 -4.39080792e-02 1.00000000e-02
8.57000000e+02 -4.86015408e-02 1.00000000e-02
8.57250000e+02 -7.60629685e-02 1.00000000e-02
8.57500000e+02 -3.17634868e-02 1.00000000e-02
8.57750000e+02 4.77763301e-01 1.00000000e-02
8.58000000e+02 2.61001899e-01 1.00000000e-02
8.58250000e+02 -4.87143746e-01 1.00000000e-02
8.58500000e+02 3.49055138e-01 1.00000000e-02
8.58750000e+02 2.04747702e-01 1.00000000e-02
8.59000000e+02 -3.01464120e-01 1.00000000e-02
8.59250000e+02 -3.99379684e-01 1.00000000e-02
8.59500000e+02 -4.41560229e-01 1.00000000e-02
8.59750000e+02 -5.46539224e-01 1.00000000e-02
8.60000000e+02 -6.02296816e-01 1.00000000e-02
8.60250000e+02 -4.14298051e-01 1.00000000e-02
8.60500000e+02 -3.61165508e-02 1.00000000e-02
8.60750000e+02 8.56420374e-02 1.00000000e-02
8.61000000e+02 1.21087519e-01 1.00000000e-02
8.61250000e+02 2.99534478e-01 1.00000000e-02
8.61500000e+02 4.39665046e-01 1.00000000e-02
8.61750000e+02 5.21358473e-01 1.00000000e-02
8.62000000e+02 6.31791662e-01 1.00000000e-02
8.62250000e+02 7.47890233e-01 1.00000000e-02
8.62500000e+02 8.33943693e-01 1.00000000e-02
8.62750000e+02 8.98933715e-01 1.00000000e-02
8.63000000e+02 9.30202740e-01 1.00000000e-02
8.63250000e+02 9.80803416e-01 1.00000000e-02
8.63500000e+02 9.98764931e-01 1.00000000e-02
8.63750000e+02 9.98576968e-01 1.00000000e-02
8.64000000e+02 9.93877888e-01 1.00000000e-02
8.64250000e+02 1.00168349e+00 1.00000000e-02
8.64500000e+02 9.93045580e-01 1.00000000e-02
8.64750000e+02 1.02353001e+00 1.00000000e-02
8.65000000e+02 9.82771736e-01 1.00000000e-02
