# energy	fit	voigt_0	voigt_1
8.52500000e+02 3.15056346e-02 7.98709669e-03 2.35185379e-02
8.52750000e+02 3.44382219e-02 8.71254696e-03 2.57256750e-02
8.53000000e+02 3.78064253e-02 9.54400899e-03 2.82624163e-02
8.53250000e+02 4.17017394e-02 1.05034473e-02 3.11982921e-02
8.53500000e+02 4.62411497e-02 1.16188690e-02 3.46222806e-02
8.53750000e+02 5.15761941e-02 1.29264451e-02 3.86497490e-02
8.54000000e+02 5.79060317e-02 1.44735580e-02 4.34324736e-02
8.54250000e+02 6.54966844e-02 1.63232697e-02 4.91734148e-02
8.54500000e+02 7.47100334e-02 1.85610201e-02 5.61490134e-02
8.54750000e+02 8.60486734e-02 2.13049323e-02 6.47437412e-02
8.55000000e+02 1.00227396e-01 2.47221275e-02 7.55052688e-02
8.55250000e+02 1.18291070e-01 2.90554232e-02 8.92356469e-02
8.55500000e+02 1.41816871e-01 3.46687169e-02 1.07148154e-01
8.55750000e+02 1.73277685e-01 4.21276300e-02 1.31150055e-01
8.56000000e+02 2.16732019e-01 5.23504947e-02 1.64381525e-01
8.56250000e+02 2.79223206e-01 6.69092151e-02 2.12313991e-01
8.56500000e+02 3.73854516e-01 8.86756233e-02 2.85178893e-01
8.56750000e+02 5.27244625e-01 1.23343232e-01 4.03901393e-01
8.57000000e+02 7.99818650e-01 1.83427581e-01 6.16391069e-01
8.57250000e+02 1.34681333e+00 3.00119476e-01 1.04669386e+00
8.57500000e+02 2.57126656e+00 5.59607999e-01 2.01165856e+00
8.57750000e+02 4.93929464e+00 1.13150427e+00 3.80779037e+00
8.58000000e+02 6.24284436e+00 1.66983696e+00 4.57300740e+00
8.58250000e+02 5.26200947e+00 1.40482423e+00 3.85718524e+00
8.58500000e+02 4.16121952e+00 8.49645952e-01 3.31157356e+00
8.58750000e+02 2.45723768e+00 5.40827343e-01 1.91641034e+00
8.59000000e+02 1.43753955e+00 4.08183057e-01 1.02935649e+00
8.59250000e+02 9.60690642e-01 3.05547918e-01 6.55142723e-01
8.59500000e+02 8.01557539e-01 2.92008374e-01 5.09549165e-01
8.59750000e+02 7.69418059e-01 3.15209893e-01 4.54208166e-01
8.60000000e+02 8.70556863e-01 3.75426310e-01 4.95130553e-01
8.60250000e+02 1.07532598e+00 3.85325399e-01 6.90000581e-01
8.60500000e+02 9.94606034e-01 2.79622810e-01 7.14983224e-01
8.60750000e+02 6.75631660e-01 1.96124855e-01 4.79506805e-01
8.61000000e+02 4.72390228e-01 1.55406164e-01 3.16984064e-01
8.61250000e+02 3.73790720e-01 1.00020687e-01 2.73770033e-01
8.61500000e+02 2.69352219e-01 6.39897431e-02 2.05362476e-01
8.61750000e+02 1.78397721e-01 4.52533316e-02 1.33144389e-01
8.62000000e+02 1.29792700e-01 3.46425113e-02 9.51501888e-02
8.62250000e+02 1.01909052e-01 2.78737471e-02 7.40353054e-02
8.62500000e+02 8.37513354e-02 2.31792528e-02 6.05720826e-02
8.62750000e+02 7.08660237e-02 1.97332800e-02 5.11327437e-02
8.63000000e+02 6.11930981e-02 1.71001707e-02 4.40929274e-02
8.63250000e+02 5.36455220e-02 1.50276114e-02 3.86179106e-02
8.63500000e+02 4.75892515e-02 1.33588063e-02 3.42304452e-02
8.63750000e+02 4.26258239e-02 1.19908848e-02 3.06349392e-02
8.64000000e+02 3.84902767e-02 1.08534086e-02 2.76368682e-02
8.64250000e+02 3.49985381e-02 9.89646159e-03 2.51020765e-02
8.64500000e+02 3.20182215e-02 9.08366428e-03 2.29345573e-02
8.64750000e+02 2.94514102e-02 8.38787974e-03 2.10635305e-02
8.65000000e+02 2.72239999e-02 7.78846950e-03 1.94355304e-02
