# energy	fit	voigt_0	voigt_1	g_type_edge
8.52500000e+02 2.35639044e-02 6.39014822e-03 1.71737562e-02 0.00000000e+00
8.52750000e+02 2.57659188e-02 6.99152720e-03 1.87743916e-02 0.00000000e+00
8.53000000e+02 2.82967937e-02 7.68422238e-03 2.06125713e-02 0.00000000e+00
8.53250000e+02 3.12260915e-02 8.48795838e-03 2.27381331e-02 0.00000000e+00
8.53500000e+02 3.46429311e-02 9.42813835e-03 2.52147928e-02 0.00000000e+00
8.53750000e+02 3.86630199e-02 1.05379395e-02 2.81250804e-02 0.00000000e+00
8.54000000e+02 4.34388387e-02 1.18613744e-02 3.15774643e-02 0.00000000e+00
8.54250000e+02 4.91747158e-02 1.34578663e-02 3.57168495e-02 0.00000000e+00
8.54500000e+02 5.61496818e-02 1.54092610e-02 4.07404208e-02 5.54299980e-17
8.54750000e+02 6.47530859e-02 1.78308893e-02 4.69221966e-02 4.98869982e-16
8.55000000e+02 7.55418720e-02 2.08896046e-02 5.46522674e-02 5.32127981e-15
8.55250000e+02 8.93360941e-02 2.48343454e-02 6.45017487e-02 5.17161881e-14
8.55500000e+02 1.07385124e-01 3.00502955e-02 7.73348288e-02 4.59459253e-13
8.55750000e+02 1.31671859e-01 3.71601390e-02 9.45117197e-02 3.75000565e-12
8.56000000e+02 1.65504530e-01 4.72260138e-02 1.18278516e-01 2.81121549e-11
8.56250000e+02 2.14758007e-01 6.21858301e-02 1.52572177e-01 1.93598691e-10
8.56500000e+02 2.90736986e-01 8.58962126e-02 2.04840772e-01 1.22495806e-09
8.56750000e+02 4.17646505e-01 1.26973992e-01 2.90672507e-01 7.12236291e-09
8.57000000e+02 6.55475313e-01 2.07956467e-01 4.47518808e-01 3.80622445e-08
8.57250000e+02 1.18239539e+00 3.99739824e-01 7.82655377e-01 1.86993652e-07
8.57500000e+02 2.52286768e+00 9.00597888e-01 1.62226894e+00 8.44752858e-07
8.57750000e+02 5.09013052e+00 1.63754516e+00 3.45258185e+00 3.51015969e-06
8.58000000e+02 6.36563465e+00 1.63431330e+00 4.73130792e+00 1.34202778e-05
8.58250000e+02 5.02335108e+00 1.02258141e+00 4.00072244e+00 4.72279759e-05
8.58500000e+02 4.05150212e+00 5.66828551e-01 3.48452052e+00 1.53050079e-04
8.58750000e+02 2.50872397e+00 4.09966671e-01 2.09830033e+00 4.56973103e-04
8.59000000e+02 1.29607046e+00 2.94148810e-01 1.00066378e+00 1.25787537e-03
8.59250000e+02 8.33379423e-01 2.57741563e-01 5.72443446e-01 3.19441441e-03
8.59500000e+02 7.14772973e-01 2.81312084e-01 4.25970064e-01 7.49082483e-03
8.59750000e+02 7.38717086e-01 3.44832374e-01 3.77647679e-01 1.62370331e-02
8.60000000e+02 8.36055227e-01 3.94396084e-01 4.09085195e-01 3.25739469e-02
8.60250000e+02 9.95594442e-01 3.18045834e-01 6.16974676e-01 6.05739321e-02
8.60500000e+02 1.03556357e+00 2.01099150e-01 7.29856870e-01 1.04607553e-01
8.60750000e+02 8.28709111e-01 1.58901587e-01 5.01659437e-01 1.68148086e-01
8.61000000e+02 6.55358199e-01 1.05967894e-01 2.97110836e-01 2.52279470e-01
8.61250000e+02 6.64038134e-01 6.14927006e-02 2.48052861e-01 3.54492573e-01
8.61500000e+02 7.06094833e-01 3.98004305e-02 1.97856392e-01 4.68438010e-01
8.61750000e+02 7.33439542e-01 2.91073219e-02 1.19339617e-01 5.84992603e-01
8.62000000e+02 7.95665161e-01 2.28600192e-02 7.84159015e-02 6.94389241e-01
8.62250000e+02 8.66110812e-01 1.87314762e-02 5.87749880e-02 7.88604347e-01
8.62500000e+02 9.26093922e-01 1.57879831e-02 4.72491835e-02 8.63056755e-01
8.62750000e+02 9.70121701e-01 1.35816906e-02 3.94976425e-02 9.17042368e-01
8.63000000e+02 9.98678230e-01 1.18685035e-02 3.38489026e-02 9.52960824e-01
8.63250000e+02 1.01490963e+00 1.05028611e-02 2.95180633e-02 9.74888706e-01
8.63500000e+02 1.02264453e+00 9.39204476e-03 2.60805120e-02 9.87171974e-01
8.63750000e+02 1.02524196e+00 8.47395395e-03 2.32825661e-02 9.93485444e-01
8.64000000e+02 1.02512968e+00 7.70532474e-03 2.09613655e-02 9.96462985e-01
8.64250000e+02 1.02381310e+00 7.05504792e-03 1.90065731e-02 9.97751475e-01
8.64500000e+02 1.02210352e+00 6.50016883e-03 1.73402677e-02 9.98263082e-01
8.64750000e+02 1.02037844e+00 6.02338410e-03 1.59055847e-02 9.98449471e-01
8.65000000e+02 1.01878311e+00 5.61141617e-03 1.46599127e-02 9.98511778e-01
