# energy 	 res 	 eps
8.52500000e+02 2.81979179e-03 1.00000000e-02
8.52750000e+02 -1.56858862e-03 1.00000000e-02
8.53000000e+02 -9.32371712e-03 1.00000000e-02
8.53250000e+02 -9.05746888e-03 1.00000000e-02
8.53500000e+02 -2.76953963e-03 1.00000000e-02
8.53750000e+02 -1.46845898e-02 1.00000000e-02
8.54000000e+02 -1.34573210e-03 1.00000000e-02
8.54250000e+02 1.20714603e-02 1.00000000e-02
8.54500000e+02 5.76737147e-03 1.00000000e-02
8.54750000e+02 -5.64428191e-03 1.00000000e-02
8.55000000e+02 2.37437277e-03 1.00000000e-02
8.55250000e+02 1.40433279e-02 1.00000000e-02
8.55500000e+02 4.63813302e-03 1.00000000e-02
8.55750000e+02 6.27281800e-03 1.00000000e-02
8.56000000e+02 -1.08029435e-02 1.00000000e-02
8.56250000e+02 -1.44155734e-02 1.00000000e-02
8.56500000e+02 -2.59785188e-02 1.00000000e-02
8.56750000e+02 -1.73913225e-02 1.00000000e-02
8.57000000e+02 -1.21536276e-03 1.00000000e-02
8.57250000e+02 1.50205676e-02 1.00000000e-02
8.57500000e+02 -3.89285768e-03 1.00000000e-02
8.57750000e+02 4.77076282e-03 1.00000000e-02
8.58000000e+02 -1.07767873e-02 1.00000000e-02
8.58250000e+02 -1.13718170e-02 1.00000000e-02
8.58500000e+02 -1.00772669e-04 1.00000000e-02
8.58750000e+02 2.13128656e-03 1.00000000e-02
8.59000000e+02 -5.60219905e-03 1.00000000e-02
8.59250000e+02 1.14213181e-03 1.00000000e-02
8.59500000e+02 -8.90838209e-03 1.00000000e-02
8.59750000e+02 -2.03389444e-02 1.00000000e-02
8.60000000e+02 4.15523549e-03 1.00000000e-02
8.60250000e+02 2.02900641e-02 1.00000000e-02
8.60500000e+02 6.36820189e-02 1.00000000e-02
8.60750000e+02 6.62322088e-02 1.00000000e-02
8.61000000e+02 4.84476014e-02 1.00000000e-02
8.61250000e+02 2.54125904e-02 1.00000000e-02
8.61500000e+02 -2.20544989e-02 1.00000000e-02
8.61750000e+02 -5.00000418e-02 1.00000000e-02
8.62000000e+02 -4.50527061e-02 1.00000000e-02
8.62250000e+02 -2.46533372e-02 1.00000000e-02
8.62500000e+02 -1.52138596e-02 1.00000000e-02
8.62750000e+02 -6.12281870e-03 1.00000000e-02
8.63000000e+02 -1.23337198e-02 1.00000000e-02
8.63250000e+02 1.50849337e-02 1.00000000e-02
8.63500000e+02 1.97546961e-02 1.00000000e-02
8.63750000e+02 1.24374755e-02 1.00000000e-02
8.64000000e+02 4.09653416e-03 1.00000000e-02
8.64250000e+02 1.00695236e-02 1.00000000e-02
8.64500000e+02 4.72450461e-04 1.00000000e-02
8.64750000e+02 3.04015778e-02 1.00000000e-02
8.65000000e+02 -1.07229647e-02 1.00000000e-02
