# energy	fit	g_type_edge
8.96000000e+03 0.00000000e+00 0.00000000e+00
8.96037736e+03 0.00000000e+00 0.00000000e+00
8.96075472e+03 0.00000000e+00 0.00000000e+00
8.96113208e+03 0.00000000e+00 0.00000000e+00
8.96150943e+03 0.00000000e+00 0.00000000e+00
8.96188679e+03 0.00000000e+00 0.00000000e+00
8.96226415e+03 0.00000000e+00 0.00000000e+00
8.96264151e+03 0.00000000e+00 0.00000000e+00
8.96301887e+03 0.00000000e+00 0.00000000e+00
8.96339623e+03 0.00000000e+00 0.00000000e+00
8.96377358e+03 0.00000000e+00 0.00000000e+00
8.96415094e+03 0.00000000e+00 0.00000000e+00
8.96452830e+03 0.00000000e+00 0.00000000e+00
8.96490566e+03 0.00000000e+00 0.00000000e+00
8.96528302e+03 1.21540040e-17 1.21540040e-17
8.96566038e+03 3.64620121e-17 3.64620121e-17
8.96603774e+03 8.50780283e-17 8.50780283e-17
8.96641509e+03 2.30926077e-16 2.30926077e-16
8.96679245e+03 6.07700202e-16 6.07700202e-16
8.96716981e+03 1.54355851e-15 1.54355851e-15
8.96754717e+03 3.90143530e-15 3.90143530e-15
8.96792453e+03 9.69889522e-15 9.69889522e-15
8.96830189e+03 2.37853859e-14 2.37853859e-14
8.96867925e+03 5.75613631e-14 5.75613631e-14
8.96905660e+03 1.37352400e-13 1.37352400e-13
8.96943396e+03 3.23187121e-13 3.23187121e-13
8.96981132e+03 7.49950665e-13 7.49950665e-13
8.97018868e+03 1.71609675e-12 1.71609675e-12
8.97056604e+03 3.87255738e-12 3.87255738e-12
8.97094340e+03 8.61795457e-12 8.61795457e-12
8.97132075e+03 1.89131738e-11 1.89131738e-11
8.97169811e+03 4.09338591e-11 4.09338591e-11
8.97207547e+03 8.73702856e-11 8.73702856e-11
8.97245283e+03 1.83912858e-10 1.83912858e-10
8.97283019e+03 3.81797156e-10 3.81797156e-10
8.97320755e+03 7.81683129e-10 7.81683129e-10
8.97358491e+03 1.57838045e-09 1.57838045e-09
8.97396226e+03 3.14326725e-09 3.14326725e-09
8.97433962e+03 6.17370157e-09 6.17370157e-09
8.97471698e+03 1.19594455e-08 1.19594455e-08
8.97509434e+03 2.28498985e-08 2.28498985e-08
8.97547170e+03 4.30598407e-08 4.30598407e-08
8.97584906e+03 8.00355579e-08 8.00355579e-08
8.97622642e+03 1.46731676e-07 1.46731676e-07
8.97660377e+03 2.65340478e-07 2.65340478e-07
8.97698113e+03 4.73293728e-07 4.73293728e-07
8.97735849e+03 8.32750718e-07 8.32750718e-07
8.97773585e+03 1.44532758e-06 1.44532758e-06
8.97811321e+03 2.47454395e-06 2.47454395e-06
8.97849057e+03 4.17939024e-06 4.17939024e-06
8.97886792e+03 6.96356327e-06 6.96356327e-06
8.97924528e+03 1.14462633e-05 1.14462633e-05
8.97962264e+03 1.85619297e-05 1.85619297e-05
8.98000000e+03 2.96977949e-05 2.96977949e-05
8.98037736e+03 4.68794426e-05 4.68794426e-05
8.98075472e+03 7.30153831e-05 7.30153831e-05
8.98113208e+03 1.12211580e-04 1.12211580e-04
8.98150943e+03 1.70165421e-04 1.70165421e-04
8.98188679e+03 2.54645243e-04 2.54645243e-04
8.98226415e+03 3.76055746e-04 3.76055746e-04
8.98264151e+03 5.48080924e-04 5.48080924e-04
8.98301887e+03 7.88384522e-04 7.88384522e-04
8.98339623e+03 1.11933349e-03 1.11933349e-03
8.98377358e+03 1.56869337e-03 1.56869337e-03
8.98415094e+03 2.17022722e-03 2.17022722e-03
8.98452830e+03 2.96411361e-03 2.96411361e-03
8.98490566e+03 3.99708705e-03 3.99708705e-03
8.98528302e+03 5.32219870e-03 5.32219870e-03
8.98566038e+03 6.99809949e-03 6.99809949e-03
8.98603774e+03 9.08776447e-03 9.08776447e-03
8.98641509e+03 1.16566074e-02 1.16566074e-02
8.98679245e+03 1.47699790e-02 1.47699790e-02
8.98716981e+03 1.84900985e-02 1.84900985e-02
8.98754717e+03 2.28725322e-02 2.28725322e-02
8.98792453e+03 2.79623984e-02 2.79623984e-02
8.98830189e+03 3.37905373e-02 3.37905373e-02
8.98867925e+03 4.03699323e-02 4.03699323e-02
8.98905660e+03 4.76926884e-02 4.76926884e-02
8.98943396e+03 5.57278702e-02 5.57278702e-02
8.98981132e+03 6.44204641e-02 6.44204641e-02
8.99018868e+03 7.36916568e-02 7.36916568e-02
8.99056604e+03 8.34405288e-02 8.34405288e-02
8.99094340e+03 9.35471425e-02 9.35471425e-02
8.99132075e+03 1.03876885e-01 1.03876885e-01
8.99169811e+03 1.14285811e-01 1.14285811e-01
8.99207547e+03 1.24626627e-01 1.24626627e-01
8.99245283e+03 1.34754920e-01 1.34754920e-01
8.99283019e+03 1.44535177e-01 1.44535177e-01
8.99320755e+03 1.53846188e-01 1.53846188e-01
8.99358491e+03 1.62585473e-01 1.62585473e-01
8.99396226e+03 1.70672475e-01 1.70672475e-01
8.99433962e+03 1.78050357e-01 1.78050357e-01
8.99471698e+03 1.84686387e-01 1.84686387e-01
8.99509434e+03 1.90570997e-01 1.90570997e-01
8.99547170e+03 1.95715689e-01 1.95715689e-01
8.99584906e+03 2.00150077e-01 2.00150077e-01
