# energy 	 res 	 eps
8.96000000e+03 1.51911142e-03 1.00000000e-03
8.96037736e+03 2.20554930e-03 1.00000000e-03
8.96075472e+03 1.32568683e-03 1.00000000e-03
8.96113208e+03 -1.12410903e-03 1.00000000e-03
8.96150943e+03 1.27083965e-03 1.00000000e-03
8.96188679e+03 1.58443441e-03 1.00000000e-03
8.96226415e+03 1.86195766e-03 1.00000000e-03
8.96264151e+03 -1.06436119e-03 1.00000000e-03
8.96301887e+03 6.07088494e-04 1.00000000e-03
8.96339623e+03 5.96171925e-04 1.00000000e-03
8.96377358e+03 -2.72433451e-04 1.00000000e-03
8.96415094e+03 -1.66154066e-04 1.00000000e-03
8.96452830e+03 1.38575205e-03 1.00000000e-03
8.96490566e+03 2.56168971e-05 1.00000000e-03
8.96528302e+03 4.30852110e-04 1.00000000e-03
8.96566038e+03 3.51481089e-05 1.00000000e-03
8.96603774e+03 -1.40940686e-03 1.00000000e-03
8.96641509e+03 -9.81840301e-04 1.00000000e-03
8.96679245e+03 3.23835091e-03 1.00000000e-03
8.96716981e+03 9.70860239e-04 1.00000000e-03
8.96754717e+03 7.81261983e-04 1.00000000e-03
8.96792453e+03 1.24404496e-03 1.00000000e-03
8.96830189e+03 1.40684183e-03 1.00000000e-03
8.96867925e+03 1.91767023e-03 1.00000000e-03
8.96905660e+03 9.92226016e-04 1.00000000e-03
8.96943396e+03 6.45958874e-04 1.00000000e-03
8.96981132e+03 1.54533563e-03 1.00000000e-03
8.97018868e+03 3.53181624e-03 1.00000000e-03
8.97056604e+03 1.33085735e-03 1.00000000e-03
8.97094340e+03 -1.54022413e-04 1.00000000e-03
8.97132075e+03 7.01511095e-05 1.00000000e-03
8.97169811e+03 6.98052494e-04 1.00000000e-03
8.97207547e+03 9.02656321e-04 1.00000000e-03
8.97245283e+03 2.22409357e-03 1.00000000e-03
8.97283019e+03 2.74423351e-03 1.00000000e-03
8.97320755e+03 1.81585385e-03 1.00000000e-03
8.97358491e+03 1.53252235e-03 1.00000000e-03
8.97396226e+03 2.10876805e-03 1.00000000e-03
8.97433962e+03 1.41188829e-03 1.00000000e-03
8.97471698e+03 1.29159722e-03 1.00000000e-03
8.97509434e+03 1.39002219e-03 1.00000000e-03
8.97547170e+03 2.99416765e-03 1.00000000e-03
8.97584906e+03 1.72449639e-03 1.00000000e-03
8.97622642e+03 6.61302781e-04 1.00000000e-03
8.97660377e+03 2.24053607e-03 1.00000000e-03
8.97698113e+03 1.74488470e-03 1.00000000e-03
8.97735849e+03 2.12312087e-03 1.00000000e-03
8.97773585e+03 1.69721267e-03 1.00000000e-03
8.97811321e+03 4.92952179e-03 1.00000000e-03
8.97849057e+03 3.00386062e-03 1.00000000e-03
8.97886792e+03 6.11408654e-04 1.00000000e-03
8.97924528e+03 3.79637016e-03 1.00000000e-03
8.97962264e+03 1.00171065e-03 1.00000000e-03
8.98000000e+03 2.21704201e-03 1.00000000e-03
8.98037736e+03 1.79138684e-03 1.00000000e-03
8.98075472e+03 4.16063635e-03 1.00000000e-03
8.98113208e+03 3.26462196e-03 1.00000000e-03
8.98150943e+03 5.17653165e-03 1.00000000e-03
8.98188679e+03 4.88531939e-03 1.00000000e-03
8.98226415e+03 4.15755086e-03 1.00000000e-03
8.98264151e+03 4.04679006e-03 1.00000000e-03
8.98301887e+03 3.97701739e-03 1.00000000e-03
8.98339623e+03 5.70775396e-03 1.00000000e-03
8.98377358e+03 8.58638686e-03 1.00000000e-03
8.98415094e+03 7.19494730e-03 1.00000000e-03
8.98452830e+03 7.32194419e-03 1.00000000e-03
8.98490566e+03 9.09005323e-03 1.00000000e-03
8.98528302e+03 1.01750514e-02 1.00000000e-03
8.98566038e+03 1.44625365e-02 1.00000000e-03
8.98603774e+03 1.43329621e-02 1.00000000e-03
8.98641509e+03 1.96214695e-02 1.00000000e-03
8.98679245e+03 1.52978517e-02 1.00000000e-03
8.98716981e+03 1.69296658e-02 1.00000000e-03
8.98754717e+03 1.24051519e-02 1.00000000e-03
8.98792453e+03 9.56915142e-03 1.00000000e-03
8.98830189e+03 6.31542708e-03 1.00000000e-03
8.98867925e+03 2.44694166e-03 1.00000000e-03
8.98905660e+03 2.54180984e-04 1.00000000e-03
8.98943396e+03 -3.67305655e-03 1.00000000e-03
8.98981132e+03 -4.14363503e-03 1.00000000e-03
8.99018868e+03 -6.70108392e-03 1.00000000e-03
