# energy 	 res 	 eps
8.96000000e+03 8.15976587e-04 1.00000000e-03
8.96037736e+03 1.48851682e-03 1.00000000e-03
8.96075472e+03 5.94334051e-04 1.00000000e-03
8.96113208e+03 -1.87022245e-03 1.00000000e-03
8.96150943e+03 5.09506531e-04 1.00000000e-03
8.96188679e+03 8.07402835e-04 1.00000000e-03
8.96226415e+03 1.06872804e-03 1.00000000e-03
8.96264151e+03 -1.87431048e-03 1.00000000e-03
8.96301887e+03 -2.20125374e-04 1.00000000e-03
8.96339623e+03 -2.48876089e-04 1.00000000e-03
8.96377358e+03 -1.13591131e-03 1.00000000e-03
8.96415094e+03 -1.04868518e-03 1.00000000e-03
8.96452830e+03 4.83514863e-04 1.00000000e-03
8.96490566e+03 -8.97010453e-04 1.00000000e-03
8.96528302e+03 -5.12882721e-04 1.00000000e-03
8.96566038e+03 -9.30446913e-04 1.00000000e-03
8.96603774e+03 -2.39765251e-03 1.00000000e-03
8.96641509e+03 -1.99356724e-03 1.00000000e-03
8.96679245e+03 2.20226901e-03 1.00000000e-03
8.96716981e+03 -9.04962708e-05 1.00000000e-03
8.96754717e+03 -3.06338032e-04 1.00000000e-03
8.96792453e+03 1.29179740e-04 1.00000000e-03
8.96830189e+03 2.63632978e-04 1.00000000e-03
8.96867925e+03 7.44978347e-04 1.00000000e-03
8.96905660e+03 -2.11154013e-04 1.00000000e-03
8.96943396e+03 -5.89385309e-04 1.00000000e-03
8.96981132e+03 2.76674662e-04 1.00000000e-03
8.97018868e+03 2.22840289e-03 1.00000000e-03
8.97056604e+03 -8.83402502e-06 1.00000000e-03
8.97094340e+03 -1.53161531e-03 1.00000000e-03
8.97132075e+03 -1.34707345e-03 1.00000000e-03
8.97169811e+03 -7.60650335e-04 1.00000000e-03
8.97207547e+03 -5.99498891e-04 1.00000000e-03
8.97245283e+03 6.76371916e-04 1.00000000e-03
8.97283019e+03 1.14867732e-03 1.00000000e-03
8.97320755e+03 1.70025016e-04 1.00000000e-03
8.97358491e+03 -1.66205476e-04 1.00000000e-03
8.97396226e+03 3.54305805e-04 1.00000000e-03
8.97433962e+03 -4.01376735e-04 1.00000000e-03
8.97471698e+03 -5.83799359e-04 1.00000000e-03
8.97509434e+03 -5.51126764e-04 1.00000000e-03
8.97547170e+03 9.83316901e-04 1.00000000e-03
8.97584906e+03 -3.60376310e-04 1.00000000e-03
8.97622642e+03 -1.50233140e-03 1.00000000e-03
8.97660377e+03 -7.07446535e-06 1.00000000e-03
8.97698113e+03 -5.92456551e-04 1.00000000e-03
8.97735849e+03 -3.10318086e-04 1.00000000e-03
8.97773585e+03 -8.39386420e-04 1.00000000e-03
8.97811321e+03 2.28191163e-03 1.00000000e-03
8.97849057e+03 2.36496121e-04 1.00000000e-03
8.97886792e+03 -2.28546123e-03 1.00000000e-03
8.97924528e+03 7.59107566e-04 1.00000000e-03
8.97962264e+03 -2.18811362e-03 1.00000000e-03
8.98000000e+03 -1.13896444e-03 1.00000000e-03
8.98037736e+03 -1.74608388e-03 1.00000000e-03
8.98075472e+03 4.24478468e-04 1.00000000e-03
8.98113208e+03 -6.89786848e-04 1.00000000e-03
8.98150943e+03 9.81358563e-04 1.00000000e-03
8.98188679e+03 4.22957387e-04 1.00000000e-03
8.98226415e+03 -6.03881473e-04 1.00000000e-03
8.98264151e+03 -1.05353964e-03 1.00000000e-03
8.98301887e+03 -1.51396047e-03 1.00000000e-03
8.98339623e+03 -2.43813007e-04 1.00000000e-03
8.98377358e+03 2.07645089e-03 1.00000000e-03
8.98415094e+03 -1.32779223e-05 1.00000000e-03
8.98452830e+03 -7.86309420e-04 1.00000000e-03
8.98490566e+03 -2.04379223e-04 1.00000000e-03
8.98528302e+03 -6.88073361e-04 1.00000000e-03
8.98566038e+03 1.59400096e-03 1.00000000e-03
8.98603774e+03 -8.37889270e-04 1.00000000e-03
8.98641509e+03 2.43720094e-03 1.00000000e-03
8.98679245e+03 -2.54703941e-03 1.00000000e-03
8.98716981e+03 5.73365982e-04 1.00000000e-03
8.98754717e+03 -6.80130858e-04 1.00000000e-03
8.98792453e+03 4.27219917e-04 1.00000000e-03
8.98830189e+03 9.38321031e-04 1.00000000e-03
8.98867925e+03 3.27577113e-04 1.00000000e-03
8.98905660e+03 8.53849645e-04 1.00000000e-03
8.98943396e+03 -8.32948617e-04 1.00000000e-03
8.98981132e+03 5.21895258e-04 1.00000000e-03
8.99018868e+03 -5.81053609e-04 1.00000000e-03
8.99056604e+03 3.41096198e-04 1.00000000e-03
8.99094340e+03 -2.12972274e-03 1.00000000e-03
8.99132075e+03 -2.91883306e-04 1.00000000e-03
8.99169811e+03 -2.80297440e-04 1.00000000e-03
8.99207547e+03 1.62885103e-03 1.00000000e-03
8.99245283e+03 1.29903778e-03 1.00000000e-03
8.99283019e+03 -5.75542693e-04 1.00000000e-03
8.99320755e+03 1.48463664e-04 1.00000000e-03
8.99358491e+03 -1.66867583e-03 1.00000000e-03
8.99396226e+03 -1.45645533e-04 1.00000000e-03
8.99433962e+03 6.58802639e-05 1.00000000e-03
8.99471698e+03 1.91699503e-03 1.00000000e-03
8.99509434e+03 3.93252117e-04 1.00000000e-03
8.99547170e+03 -1.39742857e-04 1.00000000e-03
8.99584906e+03 -1.63714049e-03 1.00000000e-03
8.99622642e+03 -7.70469633e-04 1.00000000e-03
8.99660377e+03 8.24172969e-04 1.00000000e-03
8.99698113e+03 1.22991104e-03 1.00000000e-03
8.99735849e+03 -1.37871383e-03 1.00000000e-03
8.99773585e+03 2.86127874e-04 1.00000000e-03
8.99811321e+03 6.69386736e-04 1.00000000e-03
8.99849057e+03 8.82918208e-04 1.00000000e-03
8.99886792e+03 -9.27695463e-04 1.00000000e-03
8.99924528e+03 -1.08816943e-03 1.00000000e-03
8.99962264e+03 8.06365035e-04 1.00000000e-03
9.00000000e+03 2.26929077e-03 1.00000000e-03
9.00037736e+03 -1.44888750e-03 1.00000000e-03
9.00075472e+03 1.08510509e-03 1.00000000e-03
9.00113208e+03 -2.11911989e-03 1.00000000e-03
9.00150943e+03 -1.83992149e-04 1.00000000e-03
9.00188679e+03 -3.03298346e-04 1.00000000e-03
9.00226415e+03 1.61391237e-05 1.00000000e-03
9.00264151e+03 -4.70420266e-04 1.00000000e-03
9.00301887e+03 -1.03469309e-05 1.00000000e-03
9.00339623e+03 5.51132498e-04 1.00000000e-03
9.00377358e+03 -8.84941987e-04 1.00000000e-03
9.00415094e+03 2.21786677e-04 1.00000000e-03
9.00452830e+03 2.02944694e-03 1.00000000e-03
9.00490566e+03 -1.19689960e-04 1.00000000e-03
9.00528302e+03 1.30506215e-04 1.00000000e-03
9.00566038e+03 8.67455250e-04 1.00000000e-03
9.00603774e+03 1.23669120e-04 1.00000000e-03
9.00641509e+03 -9.81713085e-04 1.00000000e-03
9.00679245e+03 8.73862716e-04 1.00000000e-03
9.00716981e+03 -2.15722319e-03 1.00000000e-03
9.00754717e+03 3.18036471e-04 1.00000000e-03
9.00792453e+03 1.03582331e-03 1.00000000e-03
9.00830189e+03 2.21039973e-03 1.00000000e-03
9.00867925e+03 2.50309803e-03 1.00000000e-03
9.00905660e+03 -5.76685504e-04 1.00000000e-03
9.00943396e+03 -1.11699855e-03 1.00000000e-03
9.00981132e+03 -1.80252753e-03 1.00000000e-03
9.01018868e+03 2.06468421e-03 1.00000000e-03
9.01056604e+03 -1.00892198e-03 1.00000000e-03
9.01094340e+03 4.57032503e-04 1.00000000e-03
9.01132075e+03 -8.65344888e-04 1.00000000e-03
9.01169811e+03 -6.68924131e-04 1.00000000e-03
9.01207547e+03 -1.88731964e-03 1.00000000e-03
9.01245283e+03 1.00024382e-03 1.00000000e-03
9.01283019e+03 -2.51990253e-04 1.00000000e-03
9.01320755e+03 8.13352900e-04 1.00000000e-03
9.01358491e+03 -2.11937749e-04 1.00000000e-03
