# time_delay 	 res_example_basic_2 	 eps
-2.50000000e+03 4.75311060e-02 3.58175033e-02
-2.40000000e+03 -8.92582944e-02 3.58175033e-02
-2.30000000e+03 -1.35605266e-02 3.58175033e-02
-2.20000000e+03 -5.22089018e-03 3.58175033e-02
-2.10000000e+03 1.15707812e-02 3.58175033e-02
-2.00000000e+03 -1.94343857e-02 3.58175033e-02
-1.90000000e+03 8.17880781e-03 3.58175033e-02
-1.80000000e+03 -4.86574126e-02 3.58175033e-02
-1.70000000e+03 -1.32394568e-02 3.58175033e-02
-1.60000000e+03 1.41882842e-02 3.58175033e-02
-1.50000000e+03 -4.15734649e-02 3.58175033e-02
-1.40000000e+03 -4.95773106e-02 3.58175033e-02
-1.30000000e+03 -6.92753399e-03 3.58175033e-02
-1.20000000e+03 -1.23450555e-02 3.58175033e-02
-1.10000000e+03 1.35157392e-02 3.58175033e-02
-1.00000000e+03 -2.15324749e-02 3.58175033e-02
-9.00000000e+02 -8.81150970e-03 3.58175033e-02
-8.00000000e+02 1.74740860e-02 3.58175033e-02
-7.00000000e+02 -2.87828831e-02 3.58175033e-02
-6.00000000e+02 1.57489042e-02 3.58175033e-02
-5.00000000e+02 4.59307450e-02 3.58175033e-02
-4.50000000e+02 -4.93975236e-02 3.58175033e-02
-4.00000000e+02 6.67885891e-02 3.58175033e-02
-3.50000000e+02 -3.53457095e-02 3.58175033e-02
-3.00000000e+02 1.49787560e-02 3.58175033e-02
-2.50000000e+02 -2.65373926e-02 3.58175033e-02
-2.00000000e+02 3.76136751e-02 3.58175033e-02
-1.50000000e+02 1.10900115e-02 3.58175033e-02
-1.00000000e+02 -1.71222262e-02 3.58175033e-02
-5.00000000e+01 3.50454708e-02 3.58175033e-02
0.00000000e+00 -8.39121312e-02 3.58175033e-02
5.00000000e+01 -4.84384495e-02 3.58175033e-02
1.00000000e+02 1.06555966e-02 3.58175033e-02
1.50000000e+02 7.01427363e-02 3.58175033e-02
2.00000000e+02 3.36646697e-02 3.58175033e-02
2.50000000e+02 -5.42531425e-02 3.58175033e-02
3.00000000e+02 -1.18685592e-01 3.58175033e-02
3.50000000e+02 -1.04771605e-01 3.58175033e-02
4.00000000e+02 -1.49460020e-01 3.58175033e-02
4.50000000e+02 -1.55942573e-01 3.58175033e-02
5.00000000e+02 -5.44846039e-02 3.58175033e-02
5.50000000e+02 -9.88306872e-02 3.58175033e-02
6.00000000e+02 -1.14081478e-03 3.58175033e-02
6.50000000e+02 -1.81014608e-04 3.58175033e-02
7.00000000e+02 -2.12200432e-02 3.58175033e-02
7.50000000e+02 -1.96363448e-02 3.58175033e-02
8.00000000e+02 4.58369062e-03 3.58175033e-02
8.50000000e+02 -3.39921523e-02 3.58175033e-02
9.00000000e+02 7.20382032e-02 3.58175033e-02
9.50000000e+02 5.68924194e-02 3.58175033e-02
1.00000000e+03 -2.92262684e-02 3.58175033e-02
1.05000000e+03 -5.32414637e-03 3.58175033e-02
1.10000000e+03 2.93683892e-02 3.58175033e-02
1.15000000e+03 7.42711793e-02 3.58175033e-02
1.20000000e+03 7.48874594e-02 3.58175033e-02
1.25000000e+03 -2.73715764e-02 3.58175033e-02
1.30000000e+03 8.45334007e-02 3.58175033e-02
1.35000000e+03 4.92170080e-02 3.58175033e-02
1.40000000e+03 -3.16745902e-03 3.58175033e-02
1.45000000e+03 8.62788589e-02 3.58175033e-02
1.50000000e+03 -9.03447558e-04 3.58175033e-02
1.75000000e+03 -9.13635666e-03 3.58175033e-02
2.00000000e+03 1.06582706e-02 3.58175033e-02
2.25000000e+03 4.67624439e-02 3.58175033e-02
2.50000000e+03 2.76719428e-02 3.58175033e-02
2.75000000e+03 -7.57097825e-03 3.58175033e-02
3.00000000e+03 7.34221268e-02 3.58175033e-02
3.25000000e+03 7.74498270e-02 3.58175033e-02
3.50000000e+03 5.98353076e-02 3.58175033e-02
3.75000000e+03 5.47650214e-02 3.58175033e-02
4.00000000e+03 5.61630835e-02 3.58175033e-02
4.25000000e+03 1.00021085e-02 3.58175033e-02
4.50000000e+03 -3.91706329e-03 3.58175033e-02
4.75000000e+03 6.80809865e-03 3.58175033e-02
5.00000000e+03 7.79715707e-02 3.58175033e-02
7.50000000e+03 2.43192265e-02 3.58175033e-02
1.00000000e+04 -6.18888100e-02 3.58175033e-02
1.25000000e+04 -1.00890114e-01 3.58175033e-02
1.50000000e+04 -1.11706213e-02 3.58175033e-02
1.75000000e+04 -5.87551737e-03 3.58175033e-02
2.00000000e+04 1.43953552e-02 3.58175033e-02
2.25000000e+04 3.36514267e-03 3.58175033e-02
2.50000000e+04 2.86369692e-02 3.58175033e-02
2.75000000e+04 -2.03056771e-02 3.58175033e-02
3.00000000e+04 -1.94377384e-02 3.58175033e-02
3.25000000e+04 9.90859144e-03 3.58175033e-02
3.50000000e+04 -5.66700058e-02 3.58175033e-02
3.75000000e+04 -1.12421877e-02 3.58175033e-02
4.00000000e+04 -1.80538032e-03 3.58175033e-02
4.25000000e+04 -1.91809022e-03 3.58175033e-02
4.50000000e+04 5.69451539e-03 3.58175033e-02
4.75000000e+04 -5.04008726e-02 3.58175033e-02
