# time_delay	fit_example_basic_1	fit_example_basic_2	fit_example_basic_3	fit_example_basic_4
-2.50000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-2.40000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-2.30000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-2.20000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-2.10000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-2.00000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.90000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+03 0.00000000e+00 0.00000000e+00 -3.74981338e-310 0.00000000e+00
-1.70000000e+03 2.30115557e-294 0.00000000e+00 -1.77266085e-274 3.25654611e-298
-1.60000000e+03 1.25558110e-259 0.00000000e+00 -5.33110485e-241 2.96759711e-263
-1.50000000e+03 4.35952943e-227 1.80438908e-300 -1.02052894e-209 1.72075710e-230
-1.40000000e+03 9.63824504e-197 2.22348817e-265 -1.24435661e-180 6.35275462e-200
-1.30000000e+03 1.35784307e-168 1.74342345e-232 -9.67257341e-154 1.49435459e-171
-1.20000000e+03 1.22013384e-142 8.70351234e-202 -4.79821072e-129 2.24179435e-145
-1.10000000e+03 7.00161793e-119 2.76840723e-173 -1.52108080e-106 2.14733215e-121
-1.00000000e+03 2.56985594e-97 5.61576875e-147 -3.08706615e-86 1.31530896e-99
-9.00000000e+02 6.04583141e-78 7.27346185e-123 -4.02090769e-68 5.16256623e-80
-8.00000000e+02 9.14334093e-61 6.02402569e-101 -3.37270523e-52 1.30204721e-62
-7.00000000e+02 8.92620224e-46 3.19687996e-81 -1.83101063e-38 2.11855983e-47
-6.00000000e+02 5.66061877e-33 1.09010274e-63 -6.48384262e-27 2.23712586e-34
