# time_delay	fit_example_1	fit_example_2	fit_example_3	fit_example_4
-2.00000000e+00 3.94183874e-01 4.12957847e-01 -4.85976405e-03 3.10581653e-03
-1.90000000e+00 3.96156421e-01 4.14837175e-01 -4.90359604e-03 3.13339895e-03
-1.80000000e+00 3.98132417e-01 4.16718547e-01 -4.94772804e-03 3.16116523e-03
-1.70000000e+00 4.00111822e-01 4.18601923e-01 -4.99216107e-03 3.18911594e-03
-1.60000000e+00 4.02094596e-01 4.20487261e-01 -5.03689616e-03 3.21725164e-03
-1.50000000e+00 4.04080700e-01 4.22374518e-01 -5.08193432e-03 3.24557289e-03
-1.40000000e+00 4.06070091e-01 4.24263653e-01 -5.12727655e-03 3.27408027e-03
-1.30000000e+00 4.08062731e-01 4.26154622e-01 -5.17292387e-03 3.30277431e-03
-1.20000000e+00 4.10058577e-01 4.28047384e-01 -5.21887725e-03 3.33165558e-03
-1.10000000e+00 4.12057589e-01 4.29941896e-01 -5.26513768e-03 3.36072460e-03
-1.00000000e+00 4.14059725e-01 4.31838115e-01 -5.31170615e-03 3.38998192e-03
-9.50000000e-01 4.15061951e-01 4.32786851e-01 -5.33510619e-03 3.40468136e-03
-9.00000000e-01 4.16064943e-01 4.33735998e-01 -5.35858360e-03 3.41942807e-03
-8.50000000e-01 4.17068695e-01 4.34685550e-01 -5.38213851e-03 3.43422212e-03
-8.00000000e-01 4.18073202e-01 4.35635502e-01 -5.40577102e-03 3.44906357e-03
-7.50000000e-01 4.19078459e-01 4.36585849e-01 -5.42948125e-03 3.46395249e-03
-7.00000000e-01 4.20084460e-01 4.37536584e-01 -5.45326934e-03 3.47888895e-03
-6.50000000e-01 4.21091200e-01 4.38487704e-01 -5.47713538e-03 3.49387300e-03
-6.00000000e-01 4.22098674e-01 4.39439201e-01 -5.50107951e-03 3.50890472e-03
-5.50000000e-01 4.23106877e-01 4.40391072e-01 -5.52510183e-03 3.52398416e-03
-5.00000000e-01 4.24115802e-01 4.41343309e-01 -5.54920246e-03 3.53911139e-03
-4.50000000e-01 4.25125445e-01 4.42295909e-01 -5.57338152e-03 3.55428646e-03
-4.00000000e-01 4.26135801e-01 4.43248865e-01 -5.59763913e-03 3.56950945e-03
-3.50000000e-01 4.27146864e-01 4.44202173e-01 -5.62197539e-03 3.58478042e-03
-3.00000000e-01 4.28158629e-01 4.45155825e-01 -5.64639042e-03 3.60009942e-03
-2.50000000e-01 4.29171089e-01 4.46109818e-01 -5.67088434e-03 3.61546651e-03
