# time_delay 	 res_example_3 	 eps
-2.00000000e+00 -3.04661922e-02 2.61951951e-02
-1.90000000e+00 2.91009426e-02 2.61951951e-02
-1.80000000e+00 -2.40920890e-02 2.61951951e-02
-1.70000000e+00 -1.93427589e-02 2.61951951e-02
-1.60000000e+00 1.41250750e-02 2.61951951e-02
-1.50000000e+00 3.51469727e-02 2.61951951e-02
-1.40000000e+00 3.69919807e-02 2.61951951e-02
-1.30000000e+00 2.83456346e-03 2.61951951e-02
-1.20000000e+00 -2.34942804e-02 2.61951951e-02
-1.10000000e+00 2.47622448e-02 2.61951951e-02
-1.00000000e+00 -4.59287078e-02 2.61951951e-02
-9.50000000e-01 3.58448077e-02 2.61951951e-02
-9.00000000e-01 -3.63351955e-03 2.61951951e-02
-8.50000000e-01 3.22856378e-02 2.61951951e-02
-8.00000000e-01 2.91467682e-02 2.61951951e-02
-7.50000000e-01 -2.29747489e-02 2.61951951e-02
-7.00000000e-01 9.22856116e-03 2.61951951e-02
-6.50000000e-01 1.51925356e-03 2.61951951e-02
-6.00000000e-01 1.24181124e-02 2.61951951e-02
-5.50000000e-01 -4.38283490e-03 2.61951951e-02
-5.00000000e-01 -1.76410663e-02 2.61951951e-02
-4.50000000e-01 -1.72513445e-02 2.61951951e-02
-4.00000000e-01 -2.11403480e-03 2.61951951e-02
-3.50000000e-01 1.75550503e-03 2.61951951e-02
-3.00000000e-01 6.87306698e-02 2.61951951e-02
-2.50000000e-01 8.62514548e-02 2.61951951e-02
-2.00000000e-01 1.54305422e-01 2.61951951e-02
-1.50000000e-01 2.37419720e-01 2.61951951e-02
-1.00000000e-01 2.90740207e-01 2.61951951e-02
-5.00000000e-02 2.27531613e-01 2.61951951e-02
8.88178420e-16 1.31834867e-01 2.61951951e-02
5.00000000e-02 3.67721081e-02 2.61951951e-02
1.00000000e-01 7.73029529e-02 2.61951951e-02
1.50000000e-01 3.69519287e-02 2.61951951e-02
2.00000000e-01 7.77826956e-02 2.61951951e-02
2.50000000e-01 4.47543309e-02 2.61951951e-02
3.00000000e-01 -1.62044006e-02 2.61951951e-02
3.50000000e-01 -4.34363125e-02 2.61951951e-02
4.00000000e-01 -2.73914435e-02 2.61951951e-02
4.50000000e-01 -7.08266664e-02 2.61951951e-02
5.00000000e-01 -6.51029826e-02 2.61951951e-02
5.50000000e-01 -5.28242980e-03 2.61951951e-02
6.00000000e-01 4.92888342e-03 2.61951951e-02
6.50000000e-01 -1.53269476e-02 2.61951951e-02
7.00000000e-01 -7.30948530e-02 2.61951951e-02
7.50000000e-01 -7.42602214e-02 2.61951951e-02
8.00000000e-01 -6.86900511e-02 2.61951951e-02
8.50000000e-01 -4.39877877e-02 2.61951951e-02
9.00000000e-01 -6.60933644e-02 2.61951951e-02
9.50000000e-01 -4.37717761e-02 2.61951951e-02
1.00000000e+00 -3.87506615e-02 2.61951951e-02
2.00000000e+00 -6.44738083e-02 2.61951951e-02
3.00000000e+00 -4.78417932e-02 2.61951951e-02
4.00000000e+00 -6.66429334e-02 2.61951951e-02
5.00000000e+00 -1.37443181e-01 2.61951951e-02
6.00000000e+00 -4.29202717e-02 2.61951951e-02
7.00000000e+00 -8.88141758e-03 2.61951951e-02
8.00000000e+00 -6.65694871e-02 2.61951951e-02
9.00000000e+00 -2.54054260e-02 2.61951951e-02
1.00000000e+01 -5.32803792e-02 2.61951951e-02
2.00000000e+01 -3.89241420e-02 2.61951951e-02
3.00000000e+01 1.73661257e-03 2.61951951e-02
4.00000000e+01 -7.50884202e-03 2.61951951e-02
5.00000000e+01 5.67037498e-03 2.61951951e-02
6.00000000e+01 -1.70946562e-02 2.61951951e-02
7.00000000e+01 -1.96303111e-02 2.61951951e-02
8.00000000e+01 2.72008838e-02 2.61951951e-02
9.00000000e+01 1.13758819e-02 2.61951951e-02
1.00000000e+02 3.50382405e-03 2.61951951e-02
2.00000000e+02 2.49232668e-02 2.61951951e-02
3.00000000e+02 -1.81911736e-02 2.61951951e-02
4.00000000e+02 1.83893190e-02 2.61951951e-02
5.00000000e+02 -2.83804722e-02 2.61951951e-02
6.00000000e+02 2.16060602e-02 2.61951951e-02
7.00000000e+02 -1.78994146e-03 2.61951951e-02
8.00000000e+02 -2.02615727e-02 2.61951951e-02
9.00000000e+02 2.97953626e-02 2.61951951e-02
1.00000000e+03 -1.10603994e-02 2.61951951e-02
1.10000000e+03 -2.52489034e-02 2.61951951e-02
1.20000000e+03 2.48610348e-02 2.61951951e-02
1.30000000e+03 -2.03435653e-02 2.61951951e-02
1.40000000e+03 8.62505729e-03 2.61951951e-02
