# time_delay	fit_example_1	fit_example_2	fit_example_3	fit_example_4
-2.00000000e+00 -5.25954895e-153 1.36724086e-164 5.51716553e-159 -1.64622793e-162
-1.90000000e+00 -1.71709408e-136 1.93618297e-147 3.86100813e-142 -1.80083313e-145
-1.80000000e+00 -6.18605662e-121 3.02595214e-131 2.98175316e-126 -2.17375644e-129
-1.70000000e+00 -2.46028560e-106 5.22129033e-116 2.54219887e-111 -2.89652023e-114
-1.60000000e+00 -1.08074119e-92 9.95215416e-102 2.39403730e-97 -4.26264646e-100
-1.50000000e+00 -5.24662510e-80 2.09677290e-88 2.49171823e-84 -6.93221421e-87
-1.40000000e+00 -2.81693271e-68 4.88669772e-76 2.86838328e-72 -1.24670795e-74
-1.30000000e+00 -1.67418778e-57 1.26103829e-64 3.65552570e-61 -2.48166834e-63
-1.20000000e+00 -1.10270773e-47 3.60764267e-54 5.16357601e-51 -5.47391429e-53
-1.10000000e+00 -8.06095119e-39 1.14602847e-44 8.09665582e-42 -1.33985878e-43
-1.00000000e+00 -6.55279387e-31 4.05106550e-36 1.41221396e-33 -3.64637825e-35
-9.50000000e-01 -2.59466405e-27 3.34607664e-32 8.19217650e-30 -2.64160469e-31
-9.00000000e-01 -5.93913132e-24 1.59814113e-28 2.74755170e-26 -1.10621834e-27
-8.50000000e-01 -7.86259090e-21 4.41622114e-25 5.33054397e-23 -2.67914155e-24
-8.00000000e-01 -6.02373213e-18 7.06544409e-22 5.98627881e-20 -3.75484287e-21
-7.50000000e-01 -2.67259309e-15 6.55007556e-19 3.89445711e-17 -3.04751882e-18
-7.00000000e-01 -6.87299200e-13 3.52231020e-16 1.46916676e-14 -1.43368090e-15
-6.50000000e-01 -1.02558426e-10 1.10017685e-13 3.21790509e-12 -3.91385058e-13
-6.00000000e-01 -8.89179703e-09 1.99939992e-11 4.09877558e-10 -6.20917329e-11
-5.50000000e-01 -4.48668544e-07 2.11898093e-09 3.04253603e-08 -5.73542668e-09
-5.00000000e-01 -1.32033623e-05 1.31364909e-07 1.31995643e-06 -3.09243082e-07
-4.50000000e-01 -2.27181932e-04 4.78419390e-06 3.36003212e-05 -9.76655859e-06
-4.00000000e-01 -2.29222927e-03 1.02982623e-04 5.04704620e-04 -1.81555978e-04
-3.50000000e-01 -1.35970567e-02 1.32208884e-03 4.51083797e-03 -2.00075241e-03
-3.00000000e-01 -4.73741036e-02 1.02634394e-02 2.42962648e-02 -1.32113635e-02
-2.50000000e-01 -9.52599689e-02 4.92423451e-02 8.04763336e-02 -5.31577558e-02
-2.00000000e-01 -9.93426646e-02 1.51251146e-01 1.69414318e-01 -1.33917941e-01
-1.50000000e-01 -8.27174826e-03 3.14653295e-01 2.39136756e-01 -2.20833367e-01
-1.00000000e-01 1.52304673e-01 4.82066295e-01 2.45611141e-01 -2.55748284e-01
-5.00000000e-02 3.20827984e-01 6.03794891e-01 2.03833346e-01 -2.29566836e-01
8.88178420e-16 4.64034209e-01 6.80730406e-01 1.50520366e-01 -1.77645617e-01
5.00000000e-02 5.77753126e-01 7.32871087e-01 1.03964403e-01 -1.27570217e-01
1.00000000e-01 6.66828878e-01 7.71934957e-01 6.69138969e-02 -8.68308371e-02
1.50000000e-01 7.36486768e-01 8.02276165e-01 3.78934270e-02 -5.48234590e-02
2.00000000e-01 7.90950390e-01 8.25978381e-01 1.52001208e-02 -2.97874776e-02
