# time_delay 	 res_example_4 	 eps
-2.00000000e+00 -5.82185296e-02 2.64171470e-02
-1.90000000e+00 -8.70240880e-03 2.64171470e-02
-1.80000000e+00 -1.06073196e-02 2.64171470e-02
-1.70000000e+00 2.06837950e-02 2.64171470e-02
-1.60000000e+00 6.74403522e-02 2.64171470e-02
-1.50000000e+00 -4.28159233e-02 2.64171470e-02
-1.40000000e+00 1.54857361e-03 2.64171470e-02
-1.30000000e+00 -2.17088816e-02 2.64171470e-02
-1.20000000e+00 -1.70722913e-02 2.64171470e-02
-1.10000000e+00 -2.63606220e-02 2.64171470e-02
-1.00000000e+00 -4.91410762e-02 2.64171470e-02
-9.50000000e-01 3.88521664e-02 2.64171470e-02
-9.00000000e-01 3.16803760e-02 2.64171470e-02
-8.50000000e-01 -7.91638977e-03 2.64171470e-02
-8.00000000e-01 2.00904359e-02 2.64171470e-02
-7.50000000e-01 -2.28649600e-03 2.64171470e-02
-7.00000000e-01 2.36732692e-02 2.64171470e-02
-6.50000000e-01 -1.30401975e-02 2.64171470e-02
-6.00000000e-01 -9.97428840e-02 2.64171470e-02
-5.50000000e-01 3.12951962e-02 2.64171470e-02
-5.00000000e-01 4.90797509e-02 2.64171470e-02
-4.50000000e-01 1.40566233e-02 2.64171470e-02
-4.00000000e-01 -1.03969982e-03 2.64171470e-02
-3.50000000e-01 3.22660763e-02 2.64171470e-02
-3.00000000e-01 -1.31384777e-02 2.64171470e-02
-2.50000000e-01 1.62884233e-02 2.64171470e-02
-2.00000000e-01 -1.69075825e-02 2.64171470e-02
-1.50000000e-01 -3.94418698e-03 2.64171470e-02
-1.00000000e-01 2.09600671e-02 2.64171470e-02
-5.00000000e-02 1.79770417e-03 2.64171470e-02
8.88178420e-16 1.21656576e-02 2.64171470e-02
5.00000000e-02 -8.40578871e-03 2.64171470e-02
1.00000000e-01 -3.45098208e-03 2.64171470e-02
1.50000000e-01 1.98212209e-02 2.64171470e-02
2.00000000e-01 -6.75852604e-02 2.64171470e-02
2.50000000e-01 -3.53639694e-02 2.64171470e-02
3.00000000e-01 -6.65202939e-03 2.64171470e-02
3.50000000e-01 -1.32696502e-02 2.64171470e-02
4.00000000e-01 2.76389478e-02 2.64171470e-02
4.50000000e-01 -1.12159808e-02 2.64171470e-02
5.00000000e-01 2.91657498e-02 2.64171470e-02
5.50000000e-01 3.02920942e-02 2.64171470e-02
6.00000000e-01 -1.76251903e-02 2.64171470e-02
6.50000000e-01 4.28863663e-02 2.64171470e-02
7.00000000e-01 -4.53306391e-03 2.64171470e-02
7.50000000e-01 2.87539558e-02 2.64171470e-02
8.00000000e-01 1.09066149e-02 2.64171470e-02
8.50000000e-01 1.46065096e-02 2.64171470e-02
9.00000000e-01 1.62759931e-02 2.64171470e-02
9.50000000e-01 3.92551437e-03 2.64171470e-02
1.00000000e+00 1.22796278e-03 2.64171470e-02
2.00000000e+00 -7.59532774e-03 2.64171470e-02
3.00000000e+00 1.30429587e-02 2.64171470e-02
4.00000000e+00 -4.81709945e-02 2.64171470e-02
5.00000000e+00 1.06150033e-02 2.64171470e-02
6.00000000e+00 -4.36504891e-02 2.64171470e-02
7.00000000e+00 4.70924382e-03 2.64171470e-02
8.00000000e+00 -2.18682988e-03 2.64171470e-02
9.00000000e+00 2.09638407e-02 2.64171470e-02
1.00000000e+01 -4.07208107e-03 2.64171470e-02
2.00000000e+01 4.96937773e-02 2.64171470e-02
3.00000000e+01 -3.87931172e-02 2.64171470e-02
4.00000000e+01 3.87717912e-02 2.64171470e-02
5.00000000e+01 -2.06493365e-02 2.64171470e-02
6.00000000e+01 -1.79748682e-02 2.64171470e-02
7.00000000e+01 -4.24639164e-02 2.64171470e-02
8.00000000e+01 -2.33064304e-02 2.64171470e-02
9.00000000e+01 -1.31233703e-02 2.64171470e-02
1.00000000e+02 2.35630649e-02 2.64171470e-02
2.00000000e+02 3.15142737e-02 2.64171470e-02
3.00000000e+02 -1.99205203e-02 2.64171470e-02
4.00000000e+02 -2.92221707e-02 2.64171470e-02
5.00000000e+02 -1.81446361e-02 2.64171470e-02
6.00000000e+02 4.03356768e-02 2.64171470e-02
7.00000000e+02 1.25503037e-02 2.64171470e-02
8.00000000e+02 4.88415087e-03 2.64171470e-02
9.00000000e+02 3.81551889e-02 2.64171470e-02
1.00000000e+03 2.42945812e-02 2.64171470e-02
1.10000000e+03 -4.16153726e-02 2.64171470e-02
1.20000000e+03 -2.96328425e-02 2.64171470e-02
1.30000000e+03 2.85782559e-03 2.64171470e-02
1.40000000e+03 -1.86844038e-04 2.64171470e-02
