# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 1.05672291e-289 0.00000000e+00 -1.57871296e-285 0.00000000e+00
-1.40000000e+00 1.06431537e-220 0.00000000e+00 -4.22306670e-217 1.80274797e-295
-1.20000000e+00 3.84230529e-161 6.66631562e-269 -4.04957601e-158 9.26178986e-226
-1.00000000e+00 5.01301115e-111 1.17859577e-202 -1.40361532e-108 1.70465047e-165
-9.80000000e-01 1.55790006e-106 1.50176630e-196 -3.82056730e-104 5.47931616e-160
-9.60000000e-01 3.89605392e-102 1.53955445e-190 -8.36861013e-100 1.41708540e-154
-9.40000000e-01 7.84085165e-98 1.26983223e-184 -1.47513954e-95 2.94882425e-149
-9.20000000e-01 1.26988230e-93 8.42674325e-179 -2.09255214e-91 4.93730265e-144
-9.00000000e-01 1.65514217e-89 4.49923836e-173 -2.38887066e-87 6.65156235e-139
-8.80000000e-01 1.73615728e-85 1.93280462e-167 -2.19478802e-83 7.21034391e-134
-8.60000000e-01 1.46566867e-81 6.68052673e-162 -1.62288329e-79 6.28915548e-129
-8.40000000e-01 9.95834987e-78 1.85785387e-156 -9.65803446e-76 4.41406468e-124
-8.20000000e-01 5.44573537e-74 4.15714351e-151 -4.62604492e-72 2.49288005e-119
-8.00000000e-01 2.39693896e-70 7.48455295e-146 -1.78346439e-68 1.13288832e-114
-7.80000000e-01 8.49187298e-67 1.08424923e-140 -5.53436118e-65 4.14288577e-110
-7.60000000e-01 2.42165377e-63 1.26383416e-135 -1.38240462e-61 1.21914822e-105
-7.40000000e-01 5.55904190e-60 1.18537121e-130 -2.77961711e-58 2.88705989e-101
-7.20000000e-01 1.02727314e-56 8.94597964e-126 -4.49920607e-55 5.50185787e-97
-7.00000000e-01 1.52823590e-53 5.43271537e-121 -5.86284688e-52 8.43774435e-93
-6.80000000e-01 1.83035594e-50 2.65477774e-116 -6.15071330e-49 1.04139751e-88
-6.60000000e-01 1.76500388e-47 1.04392334e-111 -5.19530767e-46 1.03440428e-84
-6.40000000e-01 1.37039987e-44 3.30328290e-107 -3.53340043e-43 8.26911187e-81
-6.20000000e-01 8.56780685e-42 8.41138722e-103 -1.93508407e-40 5.32027641e-77
-6.00000000e-01 4.31364973e-39 1.72362455e-98 -8.53423940e-38 2.75504808e-73
-5.80000000e-01 1.74907505e-36 2.84236574e-94 -3.03126458e-35 1.14830617e-69
-5.60000000e-01 5.71215157e-34 3.77215182e-90 -8.67195206e-33 3.85242958e-66
-5.40000000e-01 1.50266607e-31 4.02884559e-86 -1.99842732e-30 1.04034260e-62
-5.20000000e-01 3.18453170e-29 3.46310306e-82 -3.71012018e-28 2.26151894e-59
-5.00000000e-01 5.43755646e-27 2.39582684e-78 -5.54972443e-26 3.95753941e-56
-4.80000000e-01 7.48167317e-25 1.33402331e-74 -6.68961928e-24 5.57534950e-53
-4.60000000e-01 8.29659974e-23 5.97865011e-71 -6.49903516e-22 6.32358411e-50
-4.40000000e-01 7.41629849e-21 2.15669834e-67 -5.08972775e-20 5.77462070e-47
-4.20000000e-01 5.34503302e-19 6.26236279e-64 -3.21388711e-18 4.24599571e-44
-4.00000000e-01 3.10665948e-17 1.46375007e-60 -1.63667744e-16 2.51397633e-41
-3.80000000e-01 1.45658933e-15 2.75419268e-57 -6.72379730e-15 1.19867377e-38
-3.60000000e-01 5.51087567e-14 4.17196671e-54 -2.22909185e-13 4.60293752e-36
-3.40000000e-01 1.68309246e-12 5.08778492e-51 -5.96582684e-12 1.42365062e-33
-3.20000000e-01 4.15138279e-11 4.99553927e-48 -1.28955739e-10 3.54691311e-31
-3.00000000e-01 8.27381213e-10 3.94937506e-45 -2.25254862e-09 7.11911802e-29
-2.80000000e-01 1.33328794e-08 2.51417795e-42 -3.18167147e-08 1.15129370e-26
-2.60000000e-01 1.73853963e-07 1.28889490e-39 -3.63688596e-07 1.50035208e-24
-2.40000000e-01 1.83612168e-06 5.32143142e-37 -3.36761146e-06 1.57586298e-22
-2.20000000e-01 1.57249411e-05 1.76957254e-34 -2.52906872e-05 1.33426710e-20
-2.00000000e-01 1.09369247e-04 4.74003025e-32 -1.54280656e-04 9.10874612e-19
-1.80000000e-01 6.18938388e-04 1.02285886e-29 -7.65993502e-04 5.01501455e-17
-1.60000000e-01 2.85704956e-03 1.77839042e-27 -3.10315639e-03 2.22744282e-15
-1.40000000e-01 1.07923699e-02 2.49159332e-25 -1.02919216e-02 7.98371395e-14
-1.20000000e-01 3.35064354e-02 2.81342793e-23 -2.80695929e-02 2.31012528e-12
-1.00000000e-01 8.60006953e-02 2.56084037e-21 -6.33332392e-02 5.39879855e-11
