# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 3.23579197e-298 0.00000000e+00 -7.39633504e-294 0.00000000e+00
-1.40000000e+00 3.53647555e-227 0.00000000e+00 -2.03062063e-223 4.93164096e-304
-1.20000000e+00 7.30873166e-166 1.01370833e-276 -1.05432164e-162 2.78539526e-232
-1.00000000e+00 2.87983038e-114 1.57578470e-208 -1.04388552e-111 2.97329007e-170
-9.80000000e-01 1.21488275e-109 3.03298164e-202 -3.83567926e-107 1.38482369e-164
-9.60000000e-01 4.09797150e-105 4.66681546e-196 -1.12693867e-102 5.15647733e-159
-9.40000000e-01 1.10529725e-100 5.74054054e-190 -2.64749676e-98 1.53503300e-153
-9.20000000e-01 2.38382226e-96 5.64507599e-184 -4.97344012e-94 3.65336531e-148
-9.00000000e-01 4.11114625e-92 4.43787784e-178 -7.47092563e-90 6.95159283e-143
-8.80000000e-01 5.66965430e-88 2.78915937e-172 -8.97425573e-86 1.05753985e-137
-8.60000000e-01 6.25267537e-84 1.40141848e-166 -8.62065303e-82 1.28628141e-132
-8.40000000e-01 5.51445619e-80 5.62941376e-161 -6.62234182e-78 1.25085813e-127
-8.20000000e-01 3.88937437e-76 1.80785605e-155 -4.06841857e-74 9.72566391e-123
-8.00000000e-01 2.19386937e-72 4.64167401e-150 -1.99892344e-70 6.04611365e-118
-7.80000000e-01 9.89715855e-69 9.52797403e-145 -7.85485507e-67 3.00528954e-113
-7.60000000e-01 3.57104244e-65 1.56367660e-139 -2.46869745e-63 1.19441944e-108
-7.40000000e-01 1.03057952e-61 2.05172601e-134 -6.20587138e-60 3.79573581e-104
-7.20000000e-01 2.37896893e-58 2.15240389e-129 -1.24784864e-56 9.64522224e-100
-7.00000000e-01 4.39275716e-55 1.80537088e-124 -2.00708600e-53 1.95981369e-95
-6.80000000e-01 6.48857010e-52 1.21074869e-119 -2.58248341e-50 3.18429570e-91
-6.60000000e-01 7.66740599e-49 6.49222485e-115 -2.65828314e-47 4.13731407e-87
-6.40000000e-01 7.24873388e-46 2.78350862e-110 -2.18919315e-44 4.29874100e-83
-6.20000000e-01 5.48301309e-43 9.54243121e-106 -1.44249974e-41 3.57185455e-79
-6.00000000e-01 3.31857773e-40 2.61578143e-101 -7.60552020e-39 2.37349792e-75
-5.80000000e-01 1.60729583e-37 5.73361955e-97 -3.20892647e-36 1.26136403e-71
-5.60000000e-01 6.23002983e-35 1.00496509e-92 -1.08354849e-33 5.36121858e-68
-5.40000000e-01 1.93276353e-32 1.40856896e-88 -2.92845996e-31 1.82252826e-64
-5.20000000e-01 4.79966041e-30 1.57877910e-84 -6.33552224e-29 4.95553160e-61
-5.00000000e-01 9.54201965e-28 1.41511791e-80 -1.09732086e-26 1.07778091e-57
-4.80000000e-01 1.51890224e-25 1.01438934e-76 -1.52179413e-24 1.87506221e-54
-4.60000000e-01 1.93619390e-23 5.81528842e-73 -1.69013146e-22 2.60956671e-51
-4.40000000e-01 1.97686357e-21 2.66628895e-69 -1.50351728e-20 2.90544937e-48
-4.20000000e-01 1.61697757e-19 9.77751653e-66 -1.07154987e-18 2.58807842e-45
-4.00000000e-01 1.05982674e-17 2.86782498e-62 -6.11982416e-17 1.84455009e-42
-3.80000000e-01 5.56787824e-16 6.72819061e-59 -2.80163413e-15 1.05192578e-39
-3.60000000e-01 2.34535566e-14 1.26265861e-55 -1.02842706e-13 4.80062232e-37
-3.40000000e-01 7.92421298e-13 1.89556167e-52 -3.02826448e-12 1.75334707e-34
-3.20000000e-01 2.14845476e-11 2.27655717e-49 -7.15602471e-11 5.12555396e-32
-3.00000000e-01 4.67681755e-10 2.18743196e-46 -1.35783075e-09 1.19940590e-29
-2.80000000e-01 8.17913436e-09 1.68164840e-43 -2.07015086e-08 2.24698395e-27
-2.60000000e-01 1.15010001e-07 1.03445778e-40 -2.53799009e-07 3.37058460e-25
-2.40000000e-01 1.30152212e-06 5.09217045e-38 -2.50460352e-06 4.04905178e-23
-2.20000000e-01 1.18678835e-05 2.00606602e-35 -1.99197707e-05 3.89605834e-21
-2.00000000e-01 8.73281088e-05 6.32533631e-33 -1.27879647e-04 3.00340874e-19
-1.80000000e-01 5.19552447e-04 1.59649382e-30 -6.63979749e-04 1.85535535e-17
-1.60000000e-01 2.50544000e-03 3.22590177e-28 -2.79555191e-03 9.18728234e-16
-1.40000000e-01 9.82535422e-03 5.21912031e-26 -9.57679913e-03 3.64786215e-14
-1.20000000e-01 3.14729491e-02 6.76201090e-24 -2.68160311e-02 1.16185074e-12
-1.00000000e-01 8.28425341e-02 7.01724295e-22 -6.17554173e-02 2.96977167e-11
