# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 3.35178681e-298 0.00000000e+00 -7.42771550e-294 0.00000000e+00
-1.40000000e+00 3.66274569e-227 0.00000000e+00 -2.03920822e-223 4.91315546e-304
-1.20000000e+00 7.56828478e-166 1.01284144e-276 -1.05876083e-162 2.77499354e-232
-1.00000000e+00 2.98131186e-114 1.57444327e-208 -1.04825289e-111 2.96224263e-170
-9.80000000e-01 1.25765241e-109 3.03040111e-202 -3.85171406e-107 1.37968141e-164
-9.60000000e-01 4.24209442e-105 4.66284704e-196 -1.13164584e-102 5.13734172e-159
-9.40000000e-01 1.14412888e-100 5.73566188e-190 -2.65854560e-98 1.52934022e-153
-9.20000000e-01 2.46747904e-96 5.64028130e-184 -4.99417689e-94 3.63982569e-148
-9.00000000e-01 4.25525414e-92 4.43411080e-178 -7.50204578e-90 6.92584783e-143
-8.80000000e-01 5.86815133e-88 2.78679333e-172 -9.01160030e-86 1.05362614e-137
-8.60000000e-01 6.47130502e-84 1.40023044e-166 -8.65648810e-82 1.28152479e-132
-8.40000000e-01 5.70701468e-80 5.62464472e-161 -6.64983936e-78 1.24623615e-127
-8.20000000e-01 4.02499486e-76 1.80632558e-155 -4.08529168e-74 9.68975670e-123
-8.00000000e-01 2.27025438e-72 4.63774740e-150 -2.00720332e-70 6.02381050e-118
-7.80000000e-01 1.02412098e-68 9.51991999e-145 -7.88734830e-67 2.99421343e-113
-7.60000000e-01 3.69497429e-65 1.56235587e-139 -2.47889545e-63 1.19002147e-108
-7.40000000e-01 1.06628225e-61 2.04999447e-134 -6.23146931e-60 3.78177321e-104
-7.20000000e-01 2.46122985e-58 2.15058894e-129 -1.25298763e-56 9.60977860e-100
-7.00000000e-01 4.54434870e-55 1.80384990e-124 -2.01533783e-53 1.95261962e-95
-6.80000000e-01 6.71201118e-52 1.20972961e-119 -2.59308183e-50 3.17261993e-91
-6.60000000e-01 7.93084269e-49 6.48676569e-115 -2.66917167e-47 4.12216180e-87
-6.40000000e-01 7.49718149e-46 2.78117040e-110 -2.19814176e-44 4.28301707e-83
-6.20000000e-01 5.67045231e-43 9.53442377e-106 -1.44838308e-41 3.55880649e-79
-6.00000000e-01 3.43170750e-40 2.61358884e-101 -7.63646576e-39 2.36483941e-75
-5.80000000e-01 1.66192315e-37 5.72881910e-97 -3.22194933e-36 1.25676927e-71
-5.60000000e-01 6.44108091e-35 1.00412471e-92 -1.08793357e-33 5.34171931e-68
-5.40000000e-01 1.99800754e-32 1.40739257e-88 -2.94027527e-31 1.81591032e-64
-5.20000000e-01 4.96106005e-30 1.57746231e-84 -6.36099894e-29 4.93756819e-61
-5.00000000e-01 9.86154864e-28 1.41393929e-80 -1.10171741e-26 1.07388119e-57
-4.80000000e-01 1.56953178e-25 1.01354572e-76 -1.52786699e-24 1.86829093e-54
-4.60000000e-01 2.00040767e-23 5.81045970e-73 -1.69684628e-22 2.60016254e-51
-4.40000000e-01 2.04206115e-21 2.66407865e-69 -1.50946140e-20 2.89500216e-48
-4.20000000e-01 1.66997656e-19 9.76942529e-66 -1.07576303e-18 2.57879451e-45
-4.00000000e-01 1.09432487e-17 2.86545614e-62 -6.14373864e-17 1.83795023e-42
-3.80000000e-01 5.74771563e-16 6.72264398e-59 -2.81250622e-15 1.04817228e-39
-3.60000000e-01 2.42044736e-14 1.26161986e-55 -1.03238655e-13 4.78354336e-37
-3.40000000e-01 8.17540645e-13 1.89400571e-52 -3.03981816e-12 1.74712924e-34
-3.20000000e-01 2.21578534e-11 2.27469290e-49 -7.18304207e-11 5.10744051e-32
-3.00000000e-01 4.82145866e-10 2.18564522e-46 -1.36289478e-09 1.19518329e-29
-2.80000000e-01 8.42821314e-09 1.68027852e-43 -2.07776060e-08 2.23910592e-27
-2.60000000e-01 1.18449020e-07 1.03361756e-40 -2.54715959e-07 3.35882069e-25
-2.40000000e-01 1.33959890e-06 5.08804743e-38 -2.51346448e-06 4.03499040e-23
-2.20000000e-01 1.22059929e-05 2.00444727e-35 -1.99884436e-05 3.88260291e-21
-2.00000000e-01 8.97358200e-05 6.32025096e-33 -1.28306391e-04 2.99309977e-19
-1.80000000e-01 5.33297612e-04 1.59521542e-30 -6.66104651e-04 1.84903062e-17
-1.60000000e-01 2.56828695e-03 3.22332987e-28 -2.80401667e-03 9.15620509e-16
-1.40000000e-01 1.00550115e-02 5.21497911e-26 -9.60368352e-03 3.63563033e-14
-1.20000000e-01 3.21405706e-02 6.75667355e-24 -2.68835996e-02 1.15799360e-12
-1.00000000e-01 8.43708216e-02 7.01173615e-22 -6.18875112e-02 2.96002514e-11
