# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 1.15994837e-299 0.00000000e+00 -3.13804630e-296 0.00000000e+00
-1.40000000e+00 1.26270139e-228 0.00000000e+00 -8.58758336e-226 -1.84854962e-306
-1.20000000e+00 2.59553117e-167 -8.66895861e-280 -4.43918541e-165 -1.04017245e-234
-1.00000000e+00 1.01481480e-115 -1.34143103e-211 -4.36736488e-114 -1.10474374e-172
-9.80000000e-01 4.27696642e-111 -2.58052408e-205 -1.60347968e-109 -5.14228272e-167
-9.60000000e-01 1.44122926e-106 -3.96842157e-199 -4.70717124e-105 -1.91356033e-161
-9.40000000e-01 3.88316326e-102 -4.87866495e-193 -1.10488359e-100 -5.69277735e-156
-9.20000000e-01 8.36567890e-98 -4.79469094e-187 -2.07367616e-96 -1.35396144e-150
-9.00000000e-01 1.44107896e-93 -3.76703752e-181 -3.11201464e-92 -2.57449998e-145
-8.80000000e-01 1.98497029e-89 -2.36604176e-175 -3.73445781e-88 -3.91371025e-140
-8.60000000e-01 2.18629648e-85 -1.18804143e-169 -3.58350688e-84 -4.75662106e-135
-8.40000000e-01 1.92558494e-81 -4.76904325e-164 -2.74975413e-80 -4.62197661e-130
-8.20000000e-01 1.35620495e-77 -1.53047197e-158 -1.68731159e-76 -3.59072147e-125
-8.00000000e-01 7.63850101e-74 -3.92661303e-153 -8.27988221e-73 -2.23031534e-120
-7.80000000e-01 3.44051201e-70 -8.05404026e-148 -3.24932341e-69 -1.10761168e-115
-7.60000000e-01 1.23931854e-66 -1.32073917e-142 -1.01980002e-65 -4.39796703e-111
-7.40000000e-01 3.57027360e-63 -1.73154080e-137 -2.55979255e-62 -1.39626053e-106
-7.20000000e-01 8.22609144e-60 -1.81495522e-132 -5.13898901e-59 -3.54436375e-102
-7.00000000e-01 1.51591546e-56 -1.52097472e-127 -8.25183370e-56 -7.19407857e-98
-6.80000000e-01 2.23441088e-53 -1.01907620e-122 -1.05984202e-52 -1.16757652e-93
-6.60000000e-01 2.63436701e-50 -5.45916111e-118 -1.08885286e-49 -1.51522652e-89
-6.40000000e-01 2.48447607e-47 -2.33822399e-113 -8.94861435e-47 -1.57239308e-85
-6.20000000e-01 1.87439216e-44 -8.00744556e-109 -5.88333886e-44 -1.30480610e-81
-6.00000000e-01 1.13129768e-41 -2.19258630e-104 -3.09455610e-41 -8.65850177e-78
-5.80000000e-01 5.46273210e-39 -4.80044825e-100 -1.30228628e-38 -4.59475965e-74
-5.60000000e-01 2.11051081e-36 -8.40383147e-96 -4.38508321e-36 -1.94992673e-70
-5.40000000e-01 6.52440060e-34 -1.17639152e-91 -1.18153043e-33 -6.61793178e-67
-5.20000000e-01 1.61399649e-31 -1.31678407e-87 -2.54767008e-31 -1.79634108e-63
-5.00000000e-01 3.19528985e-29 -1.17862351e-83 -4.39654589e-29 -3.89971552e-60
-4.80000000e-01 5.06295425e-27 -8.43614190e-80 -6.07285547e-27 -6.77128229e-57
-4.60000000e-01 6.42137681e-25 -4.82871968e-76 -6.71481735e-25 -9.40416689e-54
-4.40000000e-01 6.51975802e-23 -2.21030061e-72 -5.94411357e-23 -1.04472052e-50
-4.20000000e-01 5.29989917e-21 -8.09123226e-69 -4.21316541e-21 -9.28390855e-48
-4.00000000e-01 3.44981279e-19 -2.36883959e-65 -2.39144798e-19 -6.59986128e-45
-3.80000000e-01 1.79837394e-17 -5.54662764e-62 -1.08720861e-17 -3.75349817e-42
-3.60000000e-01 7.50916943e-16 -1.03874895e-58 -3.95948837e-16 -1.70789604e-39
-3.40000000e-01 2.51193466e-14 -1.55595668e-55 -1.15536800e-14 -6.21783561e-37
-3.20000000e-01 6.73305769e-13 -1.86426739e-52 -2.70173581e-13 -1.81134447e-34
-3.00000000e-01 1.44641110e-11 -1.78674550e-49 -5.06403155e-12 -4.22261283e-32
-2.80000000e-01 2.49078775e-10 -1.36988042e-46 -7.60974603e-11 -7.87802893e-30
-2.60000000e-01 3.43901918e-09 -8.40217333e-44 -9.16949301e-10 -1.17639009e-27
-2.40000000e-01 3.80767732e-08 -4.12301819e-41 -8.86095540e-09 -1.40613847e-25
-2.20000000e-01 3.38109361e-07 -1.61875613e-38 -6.86728468e-08 -1.34554364e-23
-2.00000000e-01 2.40771126e-06 -5.08534771e-36 -4.26744283e-07 -1.03089746e-21
-1.80000000e-01 1.37451647e-05 -1.27839859e-33 -2.12490224e-06 -6.32472450e-20
-1.60000000e-01 6.28469478e-05 -2.57190458e-31 -8.46475505e-06 -3.10772503e-18
-1.40000000e-01 2.29657233e-04 -4.14120231e-29 -2.68843897e-05 -1.22318156e-16
