# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 6.32121482e-263 0.00000000e+00 -5.44698911e-300 0.00000000e+00
-1.40000000e+00 7.01115078e-197 1.28243460e-269 -4.05026457e-229 9.20384052e-252
-1.20000000e+00 1.87341171e-140 1.03672729e-202 -7.22791216e-168 2.79045624e-187
-1.00000000e+00 1.21839868e-93 2.01782443e-145 -3.11989461e-116 2.04071524e-132
-9.80000000e-01 1.73224998e-89 3.19843202e-140 -1.34567534e-111 1.85091896e-127
-9.60000000e-01 1.97414356e-85 4.06305377e-135 -4.65197599e-107 1.34545160e-122
-9.40000000e-01 1.80345492e-81 4.13652356e-130 -1.28895977e-102 7.83846542e-118
-9.20000000e-01 1.32069471e-77 3.37514196e-125 -2.86255891e-98 3.66001882e-113
-9.00000000e-01 7.75324114e-74 2.20713391e-120 -5.09555709e-94 1.36972174e-108
-8.80000000e-01 3.64890014e-70 1.15678407e-115 -7.27043995e-90 4.10852621e-104
-8.60000000e-01 1.37674575e-66 4.85926070e-111 -8.31518215e-86 9.87763329e-100
-8.40000000e-01 4.16461702e-63 1.63602581e-106 -7.62317525e-82 1.90345168e-95
-8.20000000e-01 1.01005218e-59 4.41489539e-102 -5.60228120e-78 2.94010301e-91
-8.00000000e-01 1.96417127e-56 9.54926210e-98 -3.30043701e-74 3.64019996e-87
-7.80000000e-01 3.06268826e-53 1.65557074e-93 -1.55872386e-70 3.61277524e-83
-7.60000000e-01 3.82945647e-50 2.30072258e-89 -5.90164146e-67 2.87422960e-79
-7.40000000e-01 3.83979060e-47 2.56289083e-85 -1.79142345e-63 1.83307173e-75
-7.20000000e-01 3.08774614e-44 2.28853119e-81 -4.35976098e-60 9.37192054e-72
-7.00000000e-01 1.99145090e-41 1.63816189e-77 -8.50716298e-57 3.84134737e-68
-6.80000000e-01 1.03020825e-38 9.40033607e-74 -1.33102051e-53 1.26229337e-64
-6.60000000e-01 4.27508582e-36 4.32444989e-70 -1.66987805e-50 3.32564556e-61
-6.40000000e-01 1.42321367e-33 1.59490485e-66 -1.67999851e-47 7.02504661e-58
-6.20000000e-01 3.80142616e-31 4.71597901e-63 -1.35545026e-44 1.18987222e-54
-6.00000000e-01 8.14751816e-29 1.11804758e-59 -8.77077203e-42 1.61603738e-51
-5.80000000e-01 1.40140562e-26 2.12529770e-56 -4.55201349e-39 1.76005631e-48
-5.60000000e-01 1.93475894e-24 3.23945383e-53 -1.89502963e-36 1.53727735e-45
-5.40000000e-01 2.14431074e-22 3.95949492e-50 -6.32869693e-34 1.07685544e-42
-5.20000000e-01 1.90822671e-20 3.88105140e-47 -1.69567210e-31 6.05026001e-40
-5.00000000e-01 1.36379555e-18 3.05090532e-44 -3.64541713e-29 2.72670030e-37
-4.80000000e-01 7.82989225e-17 1.92357329e-41 -6.28904506e-27 9.85794987e-35
-4.60000000e-01 3.61224520e-15 9.72799981e-39 -8.70794039e-25 2.85933550e-32
-4.40000000e-01 1.33956141e-13 3.94648962e-36 -9.67851147e-23 6.65459253e-30
-4.20000000e-01 3.99472853e-12 1.28443740e-33 -8.63659539e-21 1.24282517e-27
-4.00000000e-01 9.58426809e-11 3.35410209e-31 -6.18880930e-19 1.86291069e-25
-3.80000000e-01 1.85108447e-09 7.02834912e-29 -3.56209156e-17 2.24148913e-23
-3.60000000e-01 2.87997917e-08 1.18196041e-26 -1.64723448e-15 2.16532178e-21
-3.40000000e-01 3.61255733e-07 1.59548049e-24 -6.12204385e-14 1.67972901e-19
-3.20000000e-01 3.65725254e-06 1.72899746e-22 -1.82932179e-12 1.04662250e-17
-3.00000000e-01 2.99209746e-05 1.50451792e-20 -4.39670852e-11 5.23955159e-16
-2.80000000e-01 1.98150019e-04 1.05147501e-18 -8.50426537e-10 2.10809409e-14
-2.60000000e-01 1.06446643e-03 5.90354162e-17 -1.32461921e-08 6.81930457e-13
-2.40000000e-01 4.65149568e-03 2.66360686e-15 -1.66273258e-07 1.77433747e-11
-2.20000000e-01 1.65947714e-02 9.66107428e-14 -1.68359733e-06 3.71541113e-10
-2.00000000e-01 4.85751755e-02 2.81812254e-12 -1.37671570e-05 6.26508175e-09
-1.80000000e-01 1.17448606e-01 6.61437558e-11 -9.10492781e-05 8.51391784e-08
-1.60000000e-01 2.36752530e-01 1.24988613e-09 -4.87916775e-04 9.33307493e-07
-1.40000000e-01 4.02983778e-01 1.90290460e-08 -2.12373653e-03 8.26269882e-06
-1.20000000e-01 5.89293570e-01 2.33620334e-07 -7.53212831e-03 5.91646503e-05
-1.00000000e-01 7.57259909e-01 2.31539030e-06 -2.18590103e-02 3.43292968e-04
