# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 6.55495949e-263 0.00000000e+00 -5.44298161e-300 0.00000000e+00
-1.40000000e+00 7.26923230e-197 1.28234276e-269 -4.04724087e-229 9.17717381e-252
-1.20000000e+00 1.94193889e-140 1.03664934e-202 -7.22241167e-168 2.78242556e-187
-1.00000000e+00 1.26255264e-93 2.01766290e-145 -3.11745694e-116 2.03489735e-132
-9.80000000e-01 1.79495131e-89 3.19817409e-140 -1.34462057e-111 1.84564825e-127
-9.60000000e-01 2.04551184e-85 4.06272367e-135 -4.64831758e-107 1.34162487e-122
-9.40000000e-01 1.86856742e-81 4.13618488e-130 -1.28794262e-102 7.81619919e-118
-9.20000000e-01 1.36831195e-77 3.37486341e-125 -2.86029188e-98 3.64963562e-113
-9.00000000e-01 8.03237690e-74 2.20695026e-120 -5.09150655e-94 1.36584124e-108
-8.80000000e-01 3.78006866e-70 1.15668700e-115 -7.26463808e-90 4.09690313e-104
-8.60000000e-01 1.42615621e-66 4.85884935e-111 -8.30851965e-86 9.84973102e-100
-8.40000000e-01 4.31382652e-63 1.63588606e-106 -7.61704135e-82 1.89808323e-95
-8.20000000e-01 1.04617458e-59 4.41451475e-102 -5.59775345e-78 2.93182439e-91
-8.00000000e-01 2.03428037e-56 9.54843081e-98 -3.29775727e-74 3.62996768e-87
-7.80000000e-01 3.17178363e-53 1.65542518e-93 -1.55745215e-70 3.60263840e-83
-7.60000000e-01 3.96556648e-50 2.30051819e-89 -5.89680206e-67 2.86618033e-79
-7.40000000e-01 3.97594913e-47 2.56266071e-85 -1.78994664e-63 1.82794851e-75
-7.20000000e-01 3.19696345e-44 2.28832341e-81 -4.35614679e-60 9.34578248e-72
-7.00000000e-01 2.06170187e-41 1.63801144e-77 -8.50006917e-57 3.83065787e-68
-6.80000000e-01 1.06644523e-38 9.39946238e-74 -1.32990375e-53 1.25878904e-64
-6.60000000e-01 4.42499119e-36 4.32404295e-70 -1.66846782e-50 3.31643613e-61
-6.40000000e-01 1.47295036e-33 1.59475282e-66 -1.67856996e-47 7.00564449e-58
-6.20000000e-01 3.93378808e-31 4.71552341e-63 -1.35428928e-44 1.18659527e-54
-6.00000000e-01 8.43007793e-29 1.11793805e-59 -8.76320163e-42 1.61160017e-51
-5.80000000e-01 1.44979577e-26 2.12508644e-56 -4.54805229e-39 1.75523922e-48
-5.60000000e-01 2.00124719e-24 3.23912690e-53 -1.89336621e-36 1.53308447e-45
-5.40000000e-01 2.21761348e-22 3.95908894e-50 -6.32309026e-34 1.07392919e-42
-5.20000000e-01 1.97308023e-20 3.88064681e-47 -1.69415504e-31 6.03388429e-40
-5.00000000e-01 1.40984672e-18 3.05058172e-44 -3.64212125e-29 2.71935175e-37
-4.80000000e-01 8.09237636e-17 1.92336552e-41 -6.28329471e-27 9.83150527e-35
-4.60000000e-01 3.73235759e-15 9.72692887e-39 -8.69988164e-25 2.85170361e-32
-4.40000000e-01 1.38369494e-13 3.94604637e-36 -9.66943741e-23 6.63692755e-30
-4.20000000e-01 4.12496289e-12 1.28429008e-33 -8.62838396e-21 1.23954567e-27
-4.00000000e-01 9.89297338e-11 3.35370875e-31 -6.18283534e-19 1.85802700e-25
-3.80000000e-01 1.90987592e-09 7.02750543e-29 -3.55859616e-17 2.23565515e-23
-3.60000000e-01 2.96995522e-08 1.18181498e-26 -1.64558893e-15 2.15973073e-21
-3.40000000e-01 3.72323709e-07 1.59527899e-24 -6.11580754e-14 1.67542999e-19
-3.20000000e-01 3.76670020e-06 1.72877298e-22 -1.82741806e-12 1.04397016e-17
-3.00000000e-01 3.07910768e-05 1.50431677e-20 -4.39202415e-11 5.22642017e-16
-2.80000000e-01 2.03710414e-04 1.05132997e-18 -8.49496659e-10 2.10287670e-14
-2.60000000e-01 1.09301565e-03 5.90269972e-17 -1.32312859e-08 6.80266709e-13
-2.40000000e-01 4.76911891e-03 2.66321326e-15 -1.66080063e-07 1.77007913e-11
-2.20000000e-01 1.69825629e-02 9.65959130e-14 -1.68156990e-06 3.70666275e-10
-2.00000000e-01 4.95921258e-02 2.81767192e-12 -1.37498988e-05 6.25065605e-09
-1.80000000e-01 1.19541399e-01 6.61327046e-11 -9.09298541e-05 8.49482726e-08
-1.60000000e-01 2.40020333e-01 1.24966717e-09 -4.87243158e-04 9.31280489e-07
-1.40000000e-01 4.06467497e-01 1.90255373e-08 -2.12062898e-03 8.24544026e-06
-1.20000000e-01 5.90557652e-01 2.33574797e-07 -7.52035439e-03 5.90469384e-05
-1.00000000e-01 7.52948056e-01 2.31491090e-06 -2.18221834e-02 3.42651061e-04
