# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
-2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
-1.60000000e+00 2.33744668e-264 0.00000000e+00 4.00750145e-303 0.00000000e+00
-1.40000000e+00 2.58081526e-198 -9.18475598e-274 3.02369486e-232 -2.66667158e-254
-1.20000000e+00 6.85271742e-142 -7.79548900e-207 5.50048459e-171 -8.03067218e-190
-1.00000000e+00 4.41539534e-95 -1.61538404e-149 2.43766112e-119 -5.81788859e-135
-9.80000000e-01 6.27013334e-91 -2.57921836e-144 1.05476938e-114 -5.27071125e-130
-9.60000000e-01 7.13682813e-87 -3.30107949e-139 3.65840754e-110 -3.82673057e-125
-9.40000000e-01 6.51125009e-83 -3.38679955e-134 1.01715730e-105 -2.22662293e-120
-9.20000000e-01 4.76172398e-79 -2.78547555e-129 2.26703112e-101 -1.03831990e-115
-9.00000000e-01 2.79135757e-75 -1.83652531e-124 4.05053936e-97 -3.88049635e-111
-8.80000000e-01 1.31168516e-71 -9.70720638e-120 5.80186812e-93 -1.16230795e-106
-8.60000000e-01 4.94104587e-68 -4.11343115e-115 6.66249785e-89 -2.79022706e-102
-8.40000000e-01 1.49209506e-64 -1.39746359e-110 6.13389390e-85 -5.36845432e-98
-8.20000000e-01 3.61223986e-61 -3.80642826e-106 4.52774870e-81 -8.27861603e-94
-8.00000000e-01 7.01090976e-58 -8.31287492e-102 2.67974530e-77 -1.02322893e-89
-7.80000000e-01 1.09095365e-54 -1.45565325e-97 1.27171450e-73 -1.01368445e-85
-7.60000000e-01 1.36110014e-51 -2.04388062e-93 4.83940559e-70 -8.04927004e-82
-7.40000000e-01 1.36158535e-48 -2.30124637e-89 1.47680766e-66 -5.12322401e-78
-7.20000000e-01 1.09217303e-45 -2.07778786e-85 3.61418698e-63 -2.61380591e-74
-7.00000000e-01 7.02509710e-43 -1.50449875e-81 7.09381056e-60 -1.06894936e-70
-6.80000000e-01 3.62369820e-40 -8.73692744e-78 1.11676272e-56 -3.50433907e-67
-6.60000000e-01 1.49905368e-37 -4.06937300e-74 1.41022203e-53 -9.20942373e-64
-6.40000000e-01 4.97366948e-35 -1.52028778e-70 1.42855014e-50 -1.94021179e-60
-6.20000000e-01 1.32361912e-32 -4.55599868e-67 1.16097976e-47 -3.27695205e-57
-6.00000000e-01 2.82559772e-30 -1.09530062e-63 7.57040075e-45 -4.43721231e-54
-5.80000000e-01 4.83901524e-28 -2.11256620e-60 3.96119963e-42 -4.81709815e-51
-5.60000000e-01 6.64882530e-26 -3.26928672e-57 1.66342094e-39 -4.19288654e-48
-5.40000000e-01 7.33027395e-24 -4.05978777e-54 5.60667327e-37 -2.92625042e-45
-5.20000000e-01 6.48535172e-22 -4.04582578e-51 1.51706131e-34 -1.63757217e-42
-5.00000000e-01 4.60511724e-20 -3.23604735e-48 3.29587809e-32 -7.34854394e-40
-4.80000000e-01 2.62484109e-18 -2.07769466e-45 5.75034749e-30 -2.64445963e-37
-4.60000000e-01 1.20112396e-16 -1.07094884e-42 8.05875372e-28 -7.63188859e-35
-4.40000000e-01 4.41335359e-15 -4.43244420e-40 9.07405522e-26 -1.76649739e-32
-4.20000000e-01 1.30234360e-13 -1.47326246e-37 8.21143222e-24 -3.27950472e-30
-4.00000000e-01 3.08705281e-12 -3.93334817e-35 5.97396605e-22 -4.88369101e-28
-3.80000000e-01 5.87914464e-11 -8.43689897e-33 3.49540073e-20 -5.83398255e-26
-3.60000000e-01 8.99760490e-10 -1.45427115e-30 1.64555195e-18 -5.59105026e-24
-3.40000000e-01 1.10679759e-08 -2.01496172e-28 6.23631436e-17 -4.29901531e-22
-3.20000000e-01 1.09447661e-07 -2.24480633e-26 1.90373125e-15 -2.65233986e-20
-3.00000000e-01 8.70102237e-07 -2.01155075e-24 4.68436318e-14 -1.31314191e-18
-2.80000000e-01 5.56039447e-06 -1.45041800e-22 9.29878359e-13 -5.21738953e-17
-2.60000000e-01 2.85492275e-05 -8.41898841e-21 1.49061960e-11 -1.66374809e-15
-2.40000000e-01 1.17623237e-04 -3.93599665e-19 1.93194912e-10 -4.25834855e-14
-2.20000000e-01 3.87791527e-04 -1.48298207e-17 2.02743513e-09 -8.74838007e-13
-2.00000000e-01 1.01695036e-03 -4.50612855e-16 1.72581841e-08 -1.44257039e-11
-1.80000000e-01 2.09279329e-03 -1.10511766e-14 1.19424050e-07 -1.90905802e-10
-1.60000000e-01 3.26780316e-03 -2.18959193e-13 6.73617262e-07 -2.02700395e-09
-1.40000000e-01 3.48371825e-03 -3.50877603e-12 3.10755331e-06 -1.72585594e-08
-1.20000000e-01 1.26408125e-03 -4.55372913e-11 1.17739142e-05 -1.17711822e-07
