# time_delay 	 res_example_osc_4 	 eps
-2.00000000e+00 5.84232881e-04 4.76013773e-03
-1.80000000e+00 -1.77888805e-04 4.76013773e-03
-1.60000000e+00 3.94494000e-03 4.76013773e-03
-1.40000000e+00 -5.15744694e-03 4.76013773e-03
-1.20000000e+00 4.79068569e-03 4.76013773e-03
-1.00000000e+00 4.41434138e-03 4.76013773e-03
-9.80000000e-01 3.43753793e-03 4.76013773e-03
-9.60000000e-01 -1.06186114e-04 4.76013773e-03
-9.40000000e-01 -3.20246677e-03 4.76013773e-03
-9.20000000e-01 5.21465340e-03 4.76013773e-03
-9.00000000e-01 -3.60668571e-03 4.76013773e-03
-8.80000000e-01 3.97298456e-03 4.76013773e-03
-8.60000000e-01 -2.37335567e-03 4.76013773e-03
-8.40000000e-01 -1.48241733e-03 4.76013773e-03
-8.20000000e-01 8.70659556e-03 4.76013773e-03
-8.00000000e-01 -3.86116400e-03 4.76013773e-03
-7.80000000e-01 -5.18267559e-03 4.76013773e-03
-7.60000000e-01 8.73341673e-03 4.76013773e-03
-7.40000000e-01 -4.10381682e-04 4.76013773e-03
-7.20000000e-01 -2.30057002e-03 4.76013773e-03
-7.00000000e-01 -3.55296334e-04 4.76013773e-03
-6.80000000e-01 2.72912120e-04 4.76013773e-03
-6.60000000e-01 4.21250640e-03 4.76013773e-03
-6.40000000e-01 8.24874888e-04 4.76013773e-03
-6.20000000e-01 3.13729086e-04 4.76013773e-03
-6.00000000e-01 -7.13233435e-04 4.76013773e-03
-5.80000000e-01 6.30897239e-04 4.76013773e-03
-5.60000000e-01 3.28616959e-03 4.76013773e-03
-5.40000000e-01 -3.06268181e-03 4.76013773e-03
-5.20000000e-01 -5.03521589e-03 4.76013773e-03
-5.00000000e-01 -3.68411258e-03 4.76013773e-03
-4.80000000e-01 4.45978626e-03 4.76013773e-03
-4.60000000e-01 -1.44277985e-03 4.76013773e-03
-4.40000000e-01 -1.94298197e-03 4.76013773e-03
-4.20000000e-01 3.88609068e-03 4.76013773e-03
-4.00000000e-01 -3.18386888e-03 4.76013773e-03
-3.80000000e-01 2.64402035e-04 4.76013773e-03
-3.60000000e-01 1.09518277e-02 4.76013773e-03
-3.40000000e-01 -5.93928713e-03 4.76013773e-03
-3.20000000e-01 1.75837998e-03 4.76013773e-03
-3.00000000e-01 7.95627339e-04 4.76013773e-03
-2.80000000e-01 -4.58945325e-03 4.76013773e-03
-2.60000000e-01 -2.75521716e-04 4.76013773e-03
-2.40000000e-01 9.81123252e-03 4.76013773e-03
-2.20000000e-01 -4.80272257e-03 4.76013773e-03
-2.00000000e-01 4.83744796e-04 4.76013773e-03
-1.80000000e-01 -9.88608235e-03 4.76013773e-03
-1.60000000e-01 1.11013002e-03 4.76013773e-03
-1.40000000e-01 3.45321359e-03 4.76013773e-03
-1.20000000e-01 4.52669515e-03 4.76013773e-03
-1.00000000e-01 -8.97156277e-05 4.76013773e-03
-8.00000000e-02 -6.31761144e-03 4.76013773e-03
-6.00000000e-02 -2.23794520e-03 4.76013773e-03
-4.00000000e-02 7.13897553e-03 4.76013773e-03
-2.00000000e-02 -1.77379989e-03 4.76013773e-03
8.88178420e-16 -8.04086602e-03 4.76013773e-03
2.00000000e-02 6.85090621e-03 4.76013773e-03
4.00000000e-02 -1.72979250e-04 4.76013773e-03
6.00000000e-02 -3.84132630e-03 4.76013773e-03
8.00000000e-02 3.56450353e-03 4.76013773e-03
1.00000000e-01 -2.66092197e-03 4.76013773e-03
1.20000000e-01 2.61958790e-03 4.76013773e-03
1.40000000e-01 9.00001101e-03 4.76013773e-03
1.60000000e-01 8.25459002e-03 4.76013773e-03
1.80000000e-01 2.92898586e-03 4.76013773e-03
2.00000000e-01 -3.93867778e-03 4.76013773e-03
2.20000000e-01 -8.40761749e-04 4.76013773e-03
2.40000000e-01 2.76835944e-03 4.76013773e-03
2.60000000e-01 2.65370863e-03 4.76013773e-03
2.80000000e-01 -1.69056966e-03 4.76013773e-03
3.00000000e-01 -1.25288853e-03 4.76013773e-03
3.20000000e-01 -1.21422900e-03 4.76013773e-03
3.40000000e-01 -3.20003672e-03 4.76013773e-03
3.60000000e-01 -6.93201200e-03 4.76013773e-03
3.80000000e-01 5.21874029e-03 4.76013773e-03
4.00000000e-01 -8.00537378e-03 4.76013773e-03
4.20000000e-01 -5.09875259e-03 4.76013773e-03
4.40000000e-01 -7.42398122e-03 4.76013773e-03
4.60000000e-01 1.81546767e-03 4.76013773e-03
4.80000000e-01 -5.98945497e-03 4.76013773e-03
5.00000000e-01 1.03973966e-03 4.76013773e-03
5.20000000e-01 -4.30414028e-03 4.76013773e-03
5.40000000e-01 -7.98120539e-03 4.76013773e-03
5.60000000e-01 -2.01368862e-03 4.76013773e-03
5.80000000e-01 1.06932291e-02 4.76013773e-03
6.00000000e-01 1.01597321e-03 4.76013773e-03
6.20000000e-01 -1.93907043e-03 4.76013773e-03
6.40000000e-01 -1.16699863e-03 4.76013773e-03
6.60000000e-01 -2.58046529e-03 4.76013773e-03
6.80000000e-01 -3.89319061e-04 4.76013773e-03
7.00000000e-01 7.35886198e-03 4.76013773e-03
7.20000000e-01 -4.23725301e-03 4.76013773e-03
7.40000000e-01 6.02944093e-03 4.76013773e-03
7.60000000e-01 7.14704041e-03 4.76013773e-03
7.80000000e-01 -1.09931998e-02 4.76013773e-03
8.00000000e-01 -1.58173476e-02 4.76013773e-03
8.20000000e-01 2.46212924e-03 4.76013773e-03
8.40000000e-01 -3.44764125e-03 4.76013773e-03
8.60000000e-01 9.74084215e-03 4.76013773e-03
8.80000000e-01 7.01585845e-03 4.76013773e-03
9.00000000e-01 2.42093645e-03 4.76013773e-03
9.20000000e-01 9.21020798e-04 4.76013773e-03
9.40000000e-01 -2.76733520e-03 4.76013773e-03
9.60000000e-01 3.72038915e-03 4.76013773e-03
9.80000000e-01 -3.71070301e-03 4.76013773e-03
1.00000000e+00 2.93632429e-03 4.76013773e-03
1.20000000e+00 3.01701938e-03 4.76013773e-03
1.40000000e+00 -3.49901699e-04 4.76013773e-03
1.60000000e+00 -5.53236879e-04 4.76013773e-03
1.80000000e+00 6.38740152e-03 4.76013773e-03
2.00000000e+00 1.89582287e-03 4.76013773e-03
2.20000000e+00 5.55803889e-03 4.76013773e-03
2.40000000e+00 4.33705229e-03 4.76013773e-03
2.60000000e+00 1.11378230e-03 4.76013773e-03
2.80000000e+00 -8.13470183e-03 4.76013773e-03
3.00000000e+00 -6.28528013e-03 4.76013773e-03
3.20000000e+00 -6.60014666e-03 4.76013773e-03
3.40000000e+00 -1.72406285e-03 4.76013773e-03
3.60000000e+00 -1.00400760e-03 4.76013773e-03
3.80000000e+00 2.71673282e-03 4.76013773e-03
4.00000000e+00 -3.16367700e-03 4.76013773e-03
4.20000000e+00 5.45129821e-03 4.76013773e-03
4.40000000e+00 -4.09642479e-03 4.76013773e-03
4.60000000e+00 3.38821522e-03 4.76013773e-03
4.80000000e+00 3.68348419e-03 4.76013773e-03
5.00000000e+00 9.08248396e-03 4.76013773e-03
6.00000000e+00 8.32361329e-03 4.76013773e-03
7.00000000e+00 -2.23163309e-03 4.76013773e-03
8.00000000e+00 -1.09278026e-02 4.76013773e-03
9.00000000e+00 -5.89304975e-04 4.76013773e-03
1.00000000e+01 4.20655906e-03 4.76013773e-03
